Sample,Weight (mg),%N,%C,C:N,Date
afacegla01,4.02,2.2,45.7,20.5,03.12.2020 21:20
afacegla01,3.61,2.3,45.5,20.2,26.11.2020 21:58
afacegla03,4.61,3.5,45.9,13.3,26.11.2020 22:05
afacegla05,3.69,2.7,46.7,17.2,26.11.2020 22:12
afacegla06,4.19,2.8,46.8,16.9,26.11.2020 22:19
afacegla07,4.47,2.4,46.3,19.4,26.11.2020 22:26
afacegla08,4.77,2.0,45.5,22.8,26.11.2020 22:33
afacegla09,4.81,2.9,46.3,16.3,26.11.2020 22:40
afacegla10,4.25,3.0,46.3,15.7,26.11.2020 22:47
afacegla11,3.80,2.4,44.6,18.8,26.11.2020 22:54
afacegla12,3.50,2.4,46.6,19.2,26.11.2020 23:02
afalninc01,4.37,3.2,48.9,15.3,27.11.2020 01:45
afalninc05,4.45,3.3,48.8,15.0,27.11.2020 01:52
afalninc06,3.53,3.0,47.7,15.9,27.11.2020 01:59
afalninc07,4.57,3.1,48.9,15.9,27.11.2020 02:06
afalninc09,4.63,2.9,48.8,16.8,27.11.2020 02:13
afalninc10,3.98,3.1,48.2,15.5,27.11.2020 02:20
afalninc11,4.70,3.4,48.9,14.2,27.11.2020 11:08
afalninc12,4.09,3.0,52.0,17.1,27.11.2020 11:15
afalninc13,3.91,3.2,48.4,15.2,27.11.2020 11:22
afalninc20,4.44,3.4,49.0,14.4,27.11.2020 11:29
afalnvir01,4.01,2.5,48.2,19.6,27.11.2020 00:27
afalnvir02,4.28,2.3,48.3,20.8,27.11.2020 00:34
afalnvir03,3.76,2.0,51.2,25.8,27.11.2020 00:41
afalnvir04,4.67,2.5,49.4,19.4,27.11.2020 00:48
afalnvir05,3.80,2.8,49.1,17.8,27.11.2020 01:02
afalnvir11,4.02,2.4,49.4,20.7,27.11.2020 01:09
afalnvir12,4.72,2.4,48.9,20.8,27.11.2020 01:16
afalnvir13,4.49,2.4,48.5,20.6,27.11.2020 01:23
afalnvir14,3.74,2.6,48.0,18.6,27.11.2020 01:30
afalnvir20,4.39,3.3,47.7,14.4,27.11.2020 01:37
afamealn01,3.63,3.4,45.4,13.2,26.11.2020 23:09
afamealn02,4.12,3.6,47.0,13.1,26.11.2020 23:16
afamealn03,4.14,3.4,47.3,13.9,26.11.2020 23:30
afamealn05,4.14,2.7,47.2,17.2,26.11.2020 23:37
afamealn06,3.63,2.3,50.4,22.2,26.11.2020 23:44
afamealn07,4.63,2.0,48.3,24.4,26.11.2020 23:51
afamealn08,3.94,2.4,48.1,20.0,26.11.2020 23:58
afamealn09,3.94,2.5,46.2,18.4,27.11.2020 00:05
afamealn10,3.61,1.9,47.1,24.7,27.11.2020 00:12
afamealn12,3.77,2.3,45.4,20.1,27.11.2020 00:20
afbetpap02,3.90,2.4,48.8,20.5,27.11.2020 11:36
afbetpap03,4.02,2.4,48.3,20.3,27.11.2020 11:43
afbetpap04,3.84,2.3,45.0,19.2,03.12.2020 17:41
afbetpap05,3.51,2.5,48.3,19.1,27.11.2020 11:50
afbetpap06,4.03,2.8,48.5,17.1,27.11.2020 11:58
afbetpap07,4.58,2.4,47.5,20.0,27.11.2020 12:05
afbetpap08,3.67,2.8,48.3,17.5,27.11.2020 12:12
afbetpap09,4.19,2.8,48.4,17.1,27.11.2020 12:19
afbetpap10,4.50,2.3,47.5,20.8,27.11.2020 12:26
afbetpap11,4.07,2.4,45.2,19.1,27.11.2020 12:40
afcorsto01,4.60,2.2,44.5,20.6,27.11.2020 12:54
afcorsto03,4.11,3.1,44.7,14.5,27.11.2020 13:01
afcorsto04,3.52,2.5,44.3,17.4,27.11.2020 13:08
afcorsto05,4.04,2.3,46.0,20.1,27.11.2020 13:16
afcorsto06,3.65,2.1,44.9,21.3,27.11.2020 13:23
afcorsto07,3.75,2.2,43.4,19.8,27.11.2020 13:30
afcorsto08,4.03,2.3,43.3,18.8,27.11.2020 13:37
afcorsto09,3.34,2.2,43.2,19.5,27.11.2020 13:44
afcorsto10,4.05,2.6,41.9,16.4,27.11.2020 13:51
afcorsto11,3.31,3.0,44.8,14.8,27.11.2020 13:58
afloninv01,3.32,2.7,47.1,17.2,27.11.2020 14:13
afloninv02,4.13,1.7,47.2,27.9,27.11.2020 14:20
afloninv03,4.05,2.3,48.2,21.2,27.11.2020 14:41
afloninv03_2,3.93,2.7,47.3,17.7,27.11.2020 14:27
afloninv04,3.70,1.5,45.8,29.8,27.11.2020 14:34
afloninv05,3.98,1.8,47.1,26.1,27.11.2020 14:48
afloninv06,4.48,2.0,45.6,22.8,27.11.2020 14:55
afloninv08,4.67,3.2,48.7,15.3,27.11.2020 15:02
afloninv09,3.59,2.5,47.2,18.8,27.11.2020 15:09
afloninv11,3.75,3.1,47.3,15.5,27.11.2020 15:16
afpopbal01,3.79,2.1,47.6,22.4,27.11.2020 15:23
afpopbal02,3.68,2.2,48.8,22.1,27.11.2020 15:31
afpopbal02_2,4.65,2.5,48.4,19.5,27.11.2020 15:45
afpopbal03,3.91,1.7,47.9,27.8,27.11.2020 15:52
afpopbal04,4.61,2.3,47.5,21.0,27.11.2020 15:59
afpopbal05,4.74,2.5,46.6,18.6,27.11.2020 16:06
afpopbal06,4.20,2.3,47.5,20.6,27.11.2020 16:13
afpopbal07,3.71,2.1,48.2,23.2,27.11.2020 16:20
afpopbal08,3.93,1.8,48.5,27.3,27.11.2020 16:27
afpopbal09,3.94,1.8,45.5,24.9,27.11.2020 16:35
afpoptre03,4.16,2.4,48.2,19.9,27.11.2020 16:42
afpoptre03_2,3.80,2.3,48.2,21.0,03.12.2020 21:13
afpoptre04,4.47,2.2,48.1,22.0,27.11.2020 16:49
afpoptre05,4.13,2.2,47.3,21.2,27.11.2020 16:56
afpoptre06,4.79,1.9,46.8,24.1,27.11.2020 17:03
afpoptre07,4.07,3.2,50.7,16.0,27.11.2020 17:17
afpoptre08,4.54,2.9,49.6,17.0,27.11.2020 17:24
afpoptre08_2,4.16,2.6,50.3,19.4,27.11.2020 17:31
afpoptre09,3.62,2.8,53.4,19.1,27.11.2020 17:38
afpoptre10_2,3.86,2.4,48.6,20.1,27.11.2020 17:46
afpoptre12,3.81,2.4,46.5,19.6,27.11.2020 17:53
afriblac01,3.86,1.7,44.4,26.1,01.12.2020 11:51
afriblac02,4.02,1.9,46.2,24.7,01.12.2020 11:58
afriblac04,4.39,2.1,42.3,20.4,01.12.2020 12:05
afriblac06,3.62,1.8,43.0,24.3,01.12.2020 12:12
afriblac07,4.20,1.7,46.0,27.8,01.12.2020 12:19
afriblac08,4.15,2.1,45.0,21.3,01.12.2020 12:26
afriblac10,3.63,2.4,44.6,18.3,01.12.2020 12:33
afriblac11,3.71,2.5,42.0,17.2,01.12.2020 12:40
afriblac12,4.25,3.2,43.9,13.9,01.12.2020 12:47
afriblac20,3.66,1.8,43.6,24.7,01.12.2020 12:54
afrubpar02,3.90,3.5,47.3,13.7,01.12.2020 15:38
afrubpar02,4.71,3.2,43.4,13.6,27.11.2020 20:00
afrubpar03,4.01,3.4,48.9,14.5,01.12.2020 15:45
afrubpar03,4.43,3.2,44.8,14.1,27.11.2020 20:08
afrubpar04,3.89,3.0,47.2,15.6,01.12.2020 15:52
afrubpar04,4.96,2.7,45.0,16.6,27.11.2020 20:22
afrubpar05,3.91,2.5,44.6,17.8,01.12.2020 15:59
afrubpar05,3.64,2.4,42.5,17.7,27.11.2020 20:29
afrubpar06,3.88,2.6,46.3,18.1,01.12.2020 16:06
afrubpar06,4.01,2.4,42.7,17.5,27.11.2020 20:36
afrubpar07,3.79,2.3,42.2,18.4,27.11.2020 21:12
afrubpar10,3.91,3.6,51.6,14.3,01.12.2020 16:13
afrubpar10,4.72,2.9,42.5,14.7,27.11.2020 20:43
afrubpar11,5.20,1.7,45.2,26.4,03.12.2020 20:30
afrubpar11,4.48,1.7,43.0,25.9,27.11.2020 20:50
afrubpar13,3.90,2.9,45.6,15.8,03.12.2020 20:37
afrubpar13,3.74,2.6,42.7,16.1,27.11.2020 20:57
afrubpar14,3.55,2.5,44.6,18.0,27.11.2020 21:04
afrubpar15,3.72,3.5,45.2,12.8,03.12.2020 20:44
afrubpar16,4.38,3.7,45.5,12.2,03.12.2020 20:51
afsamrac01,4.05,4.1,48.1,11.6,27.11.2020 22:44
afsamrac03,3.72,5.5,47.5,8.7,27.11.2020 22:37
afsamrac04,4.79,4.9,49.6,10.2,27.11.2020 22:51
afsamrac05,4.43,5.0,48.2,9.6,27.11.2020 22:58
afsamrac06,4.72,6.2,46.6,7.5,27.11.2020 23:05
afsamrac07,4.44,6.2,46.4,7.4,27.11.2020 23:12
afsamrac09,4.06,4.3,49.7,11.7,27.11.2020 23:27
afsamrac10,3.55,3.8,49.2,12.8,27.11.2020 23:34
afsamrac12,4.15,4.8,49.2,10.3,27.11.2020 23:41
afsamrac13,4.04,6.0,48.7,8.2,27.11.2020 23:48
afshecan01,4.41,2.3,45.5,20.1,01.12.2020 14:20
afshecan02,3.89,3.8,45.8,11.9,01.12.2020 14:27
afshecan03,4.51,2.8,47.0,16.6,01.12.2020 14:34
afshecan04,4.30,2.7,46.5,17.2,01.12.2020 14:41
afshecan05,4.49,4.3,47.0,10.8,01.12.2020 14:55
afshecan06,3.93,2.8,47.0,17.1,01.12.2020 15:02
afshecan07,4.69,3.3,46.6,14.0,01.12.2020 15:09
afshecan08,4.61,2.2,46.1,20.6,01.12.2020 15:17
afshecan09,4.07,3.6,51.5,14.2,01.12.2020 15:24
afshecan10,3.56,3.9,46.4,11.9,01.12.2020 15:31
afsorsco02,4.57,3.3,45.0,13.6,27.11.2020 21:19
afsorsco03,3.99,2.9,47.1,16.3,27.11.2020 21:33
afsorsco03_2,4.30,3.5,45.3,13.1,27.11.2020 21:26
afsorsco06,4.65,2.5,42.6,16.8,27.11.2020 21:40
afsorsco07,4.32,3.0,44.3,14.7,27.11.2020 21:54
afsorsco08,4.77,2.8,46.0,16.2,27.11.2020 22:01
afsorsco09,3.63,2.7,44.1,16.4,27.11.2020 22:08
afsorsco10,3.85,2.5,44.7,17.9,27.11.2020 22:15
afsorsco11,3.60,2.3,57.0,25.4,27.11.2020 22:23
afsorsco13,4.24,3.4,46.5,13.8,27.11.2020 22:30
afspibet01,4.33,1.8,47.7,26.3,27.11.2020 23:55
afspibet02,4.38,2.7,48.0,18.1,28.11.2020 00:02
afspibet04,4.27,2.2,47.6,21.5,28.11.2020 00:09
afspibet05,3.54,2.5,48.2,19.3,28.11.2020 00:16
afspibet06,3.84,2.5,48.0,19.4,28.11.2020 00:23
afspibet06_2,3.74,2.0,48.7,24.0,28.11.2020 00:30
afspibet11,3.75,2.1,47.6,22.7,28.11.2020 00:38
afspibet13,4.39,2.3,49.2,21.5,28.11.2020 00:45
afspibet14,3.63,2.6,45.5,17.7,28.11.2020 00:59
afspibet20,4.85,1.7,44.4,26.0,28.11.2020 01:06
afspipyr01,4.49,3.4,47.2,14.0,28.11.2020 01:13
afspipyr02,4.00,2.9,47.2,16.1,28.11.2020 01:20
afspipyr11,4.18,1.7,46.6,27.5,28.11.2020 01:27
afspipyr12,3.96,2.9,46.9,16.2,28.11.2020 01:34
afspipyr13,3.60,2.6,47.2,18.1,28.11.2020 01:42
afspipyr14,3.67,2.0,47.9,23.5,28.11.2020 01:49
afspipyr16,3.69,2.6,47.2,18.3,28.11.2020 01:56
afspipyr17,3.91,2.7,46.9,17.5,28.11.2020 02:03
afspipyr18,3.74,2.8,47.0,17.0,28.11.2020 02:10
afspipyr19,3.57,2.6,46.0,17.6,28.11.2020 02:17
afsymabl11,4.40,2.0,51.6,25.7,01.12.2020 14:13
afsymabl12,4.26,2.0,47.1,24.0,01.12.2020 13:09
afsymalb01,3.97,2.3,52.0,22.3,01.12.2020 13:02
afsymalb02,4.36,2.5,45.5,18.4,01.12.2020 13:23
afsymalb03,4.62,2.1,46.8,22.8,01.12.2020 13:30
afsymalb04,4.29,2.2,48.8,22.1,01.12.2020 13:37
afsymalb05,3.85,2.4,45.1,18.8,01.12.2020 13:44
afsymalb06,3.93,2.0,44.7,22.7,01.12.2020 13:51
afsymalb07,3.96,1.6,45.9,28.5,01.12.2020 13:58
afsymalb08,4.26,1.6,46.6,30.0,01.12.2020 14:05
afvacmem01,4.48,2.3,47.8,20.7,27.11.2020 18:00
afvacmem03,3.57,2.6,55.6,21.6,27.11.2020 18:07
afvacmem04,3.65,2.5,49.8,19.7,27.11.2020 18:14
afvacmem06,4.41,2.3,53.3,23.7,27.11.2020 18:21
afvacmem06_2,3.90,2.5,47.4,19.2,27.11.2020 18:28
afvacmem07,3.92,2.4,48.2,20.4,27.11.2020 18:35
afvacmem08,4.44,2.2,46.5,21.0,03.12.2020 20:02
afvacmem09,3.57,1.8,49.7,27.2,03.12.2020 20:09
afvacmem10,3.73,1.8,48.0,26.5,03.12.2020 20:16
afvacmem20,4.11,2.1,47.0,22.3,03.12.2020 20:23
afvibedu01,4.50,2.5,45.1,17.8,27.11.2020 18:49
afvibedu02,4.50,1.8,45.4,25.6,27.11.2020 18:57
afvibedu03,4.81,2.8,44.2,15.9,27.11.2020 19:04
afvibedu04,4.26,1.6,46.1,28.7,27.11.2020 19:11
afvibedu05,1.06,8.6,169.2,19.6,27.11.2020 19:18
afvibedu06,4.81,1.7,45.8,27.2,27.11.2020 19:25
afvibedu07,3.77,2.0,45.3,23.3,27.11.2020 19:32
afvibedu08,4.70,1.8,43.8,25.1,27.11.2020 19:39
afvibedu11,4.46,2.2,43.7,20.1,27.11.2020 19:46
afvibedu12,4.69,2.6,44.7,17.1,27.11.2020 19:53
klacegla01,3.67,3.1,46.7,15.2,01.12.2020 17:39
klacegla03,4.00,2.0,44.7,22.8,01.12.2020 17:46
klacegla04,3.73,2.5,47.0,19.1,01.12.2020 18:00
klacegla05,3.80,2.6,45.9,17.5,01.12.2020 18:07
klacegla06,4.17,1.8,46.7,26.2,01.12.2020 18:14
klacegla07,3.60,2.2,45.1,20.8,01.12.2020 18:21
klacegla08,3.64,3.8,46.5,12.1,01.12.2020 18:28
klacegla09,4.22,1.8,46.9,25.4,01.12.2020 18:35
klacegla10,4.72,2.2,46.5,21.1,01.12.2020 18:43
klacegla11,3.89,2.8,46.0,16.3,01.12.2020 18:50
klalninc01,4.93,2.9,48.6,16.8,03.12.2020 16:51
klalninc02,3.80,3.2,47.1,14.9,03.12.2020 16:37
klalninc03,4.06,3.5,49.5,14.3,03.12.2020 16:58
klalninc04,4.00,3.4,47.4,14.2,03.12.2020 16:44
klalnvir02,3.51,2.7,46.2,16.9,01.12.2020 20:15
klalnvir03,3.90,2.5,47.5,18.9,01.12.2020 20:22
klalnvir05,3.68,2.8,49.0,17.7,01.12.2020 20:29
klalnvir06,4.21,3.3,48.0,14.4,01.12.2020 20:36
klalnvir07,4.33,2.6,48.0,18.3,01.12.2020 20:43
klalnvir08,3.65,2.7,48.7,18.2,01.12.2020 20:50
klalnvir09,4.38,3.3,48.1,14.5,01.12.2020 21:05
klalnvir10,4.89,3.3,47.1,14.1,01.12.2020 21:12
klalnvir11,4.18,2.9,47.3,16.3,01.12.2020 21:19
klalnvir12,4.06,2.7,47.1,17.7,01.12.2020 21:26
klamelan01,3.74,3.3,46.1,14.2,01.12.2020 16:28
klamelan02,4.44,2.9,45.4,15.9,01.12.2020 16:35
klamelan03,4.40,2.2,46.1,20.8,01.12.2020 16:42
klamelan04,4.61,2.4,45.5,19.0,01.12.2020 16:49
klamelan05,4.52,2.7,46.4,16.9,01.12.2020 16:56
klamelan06,3.88,2.4,45.7,19.2,01.12.2020 17:03
klamelan07,3.55,2.4,45.0,18.8,01.12.2020 17:10
klamelan08,3.94,2.4,46.0,19.4,01.12.2020 17:17
klamelan09,4.16,2.4,46.2,19.5,01.12.2020 17:24
klamelan10,4.38,2.6,46.6,18.2,01.12.2020 17:31
klbetpap03,3.75,2.5,47.9,19.3,01.12.2020 18:57
klbetpap05,4.64,1.7,46.3,26.9,01.12.2020 19:04
klbetpap06,4.39,1.7,45.7,27.1,01.12.2020 19:11
klbetpap07,3.82,2.0,48.5,24.9,01.12.2020 19:18
klbetpap09,3.74,2.1,46.6,22.6,01.12.2020 19:32
klbetpap09_2,3.53,2.2,48.6,22.1,01.12.2020 19:39
klbetpap10,4.09,2.4,48.2,20.4,01.12.2020 19:46
klbetpap11,4.10,1.6,47.0,29.0,01.12.2020 19:54
klbetpap12,4.16,2.7,47.9,18.1,01.12.2020 20:01
klbetpap13,4.62,2.0,47.6,23.9,01.12.2020 20:08
klbetpap14,4.54,1.7,44.5,26.0,03.12.2020 17:05
klcorsto02,4.03,1.6,46.3,28.9,01.12.2020 21:33
klcorsto03,4.10,1.6,43.3,26.4,01.12.2020 21:40
klcorsto05,3.87,2.0,44.7,22.0,01.12.2020 21:47
klcorsto06,3.66,1.8,44.6,24.7,01.12.2020 21:55
klcorsto07,4.11,2.4,44.3,18.5,01.12.2020 22:02
klcorsto08,4.68,2.1,44.0,20.6,02.12.2020 11:56
klcorsto09,4.08,2.0,44.2,22.6,02.12.2020 12:04
klcorsto10,4.22,2.2,41.7,19.1,02.12.2020 12:11
klcorsto11,4.83,1.8,43.4,24.1,02.12.2020 12:25
klcorsto13,3.95,1.7,45.2,26.5,02.12.2020 12:32
klloninv01,4.41,2.3,43.2,19.2,02.12.2020 12:39
klloninv02,4.18,2.1,42.2,20.0,02.12.2020 12:46
klloninv04,4.18,1.9,44.5,23.3,02.12.2020 12:53
klloninv05,4.41,1.8,45.5,24.9,02.12.2020 13:00
klloninv06,4.78,1.7,43.8,26.3,02.12.2020 13:07
klloninv07,3.85,2.2,45.7,20.8,02.12.2020 13:14
klloninv08,4.01,3.2,46.4,14.6,02.12.2020 13:21
klloninv08_2,4.69,1.7,44.1,26.3,02.12.2020 13:28
klloninv09,4.10,2.0,44.2,22.4,02.12.2020 13:35
klloninv10,3.54,2.0,45.0,22.7,02.12.2020 13:43
klpopbal01,4.16,2.3,43.0,19.1,03.12.2020 15:19
