,site,species,no,date,dist.top,dist.btm,ht.cm,dbh,dbh2,dbh3,stem.vol,stem.weight
593,af,acegla,1,03-Jul,NA,NA,289.4,1.881,NA,NA,NA,1337.4
166,af,acegla,3,11-Jun,7,5,NA,9.3,2,NA,3.42,1820.6
241,af,acegla,5,13-Jun,8,6,NA,3,3.4,3.2,3.08,1613.7
242,af,acegla,6,13-Jun,9,6,NA,4.2,8.2,3.2,3.43,1598.5
243,af,acegla,7,13-Jun,9,7,NA,5.1,6.9,9,4.11,2018.4
244,af,acegla,8,13-Jun,8,6,NA,6.5,7.5,5.9,3.31,1558.8
245,af,acegla,9,13-Jun,7,4,NA,4.5,6.5,7,3.61,1741.6
246,af,acegla,10,13-Jun,NA,NA,489.6,2.7,4.2,4.3,3.01,1428
521,af,acegla,11,02-Jul,NA,NA,466.6,2.411,NA,NA,3.25,1694.4
522,af,acegla,12,02-Jul,NA,NA,335.9,1.632,NA,NA,3.12,1497
167,af,alninc,1,02-Jul,NA,NA,233.4,0.816,1.525,NA,NA,1901.8
168,af,alninc,1,11-Jun,NA,NA,284.5,2.1,NA,NA,4.67,1901.8
523,af,alninc,5,02-Jul,5,3,NA,2.655,4.354,NA,2.79,1079.7
988,af,alninc,6,03-Jul,8,6,NA,7.8,8.9,7.2,NA,NA
986,af,alninc,7,03-Jul,8,7,NA,4.2,5.5,4.3,NA,NA
169,af,alninc,9,11-Jun,6,5,NA,4.7,NA,NA,2.61,1326.7
170,af,alninc,10,11-Jun,10,9,NA,3.4,3.5,4.2,4.53,1851.3
992,af,alninc,11,NA,NA,NA,NA,NA,NA,NA,NA,944.2
620,af,alninc,12,04-Jul,6,3,NA,4.644,3.848,3.295,NA,1338.1
621,af,alninc,13,04-Jul,7,5,NA,3.385,5.925,3.35,NA,117.2
976,af,alninc,14,04-Jul,NA,NA,319.2,1.947,1.721,NA,NA,NA
212,af,alninc,20,12-Jun,NA,NA,465.3,4.1,3.3,2.8,4.05,1690.6
524,af,alnvir,1,02-Jul,NA,NA,233.4,0.816,1.525,NA,3.3,1411
525,af,alnvir,2,02-Jul,NA,NA,311,1.509,1.382,1.231,3.69,1483
526,af,alnvir,3,02-Jul,NA,NA,338.5,1.692,2.055,1.509,2.97,1220.4
527,af,alnvir,4,02-Jul,NA,NA,333.4,1.317,1.24,1.42,3.05,1440.8
528,af,alnvir,5,02-Jul,NA,NA,217.6,1.294,0.915,0.888,3.01,1262.5
529,af,alnvir,11,02-Jul,NA,NA,348.6,1.924,1.328,0.865,2.99,1307.1
530,af,alnvir,12,02-Jul,NA,NA,339.6,1.409,1.232,1.17,3.42,1468.6
622,af,alnvir,13,04-Jul,NA,NA,276.5,1.928,1.953,3.163,NA,920.9
623,af,alnvir,14,04-Jul,NA,NA,396.4,2.588,1.821,1.764,NA,1334.3
213,af,alnvir,20,12-Jun,NA,NA,439.2,4,5.2,4.5,3.3,1449.2
171,af,amealn,1,11-Jun,NA,NA,180.7,1.588,1.312,1.13,2.34,1292.3
172,af,amealn,2,11-Jun,NA,NA,157.7,1.183,NA,NA,5.06,2589.1
173,af,amealn,3,11-Jun,NA,NA,234.2,1.986,NA,NA,2.38,1294.7
174,af,amealn,5,11-Jun,NA,NA,210.4,2.357,NA,NA,3.23,1872.7
531,af,amealn,6,02-Jul,NA,NA,274.7,1.536,NA,NA,2.73,1403
532,af,amealn,7,02-Jul,NA,NA,243.4,1.432,1.036,NA,4.13,2130
533,af,amealn,8,02-Jul,NA,NA,204.6,1.238,1.387,1.034,3.39,1819.9
534,af,amealn,9,02-Jul,NA,NA,182.1,1.293,NA,NA,1.78,1150.3
535,af,amealn,10,02-Jul,NA,NA,198,1.095,NA,NA,2.65,1717.1
536,af,amealn,12,02-Jul,NA,NA,364.2,1.002,NA,NA,3.61,2222.8
175,af,betpap,1,11-Jun,19,14,NA,36.9,NA,NA,3.86,1729.2
1019,af,betpap,2,NA,NA,NA,NA,NA,NA,NA,NA,2764.6
214,af,betpap,3,12-Jun,13,8,NA,10.5,NA,NA,3.52,1912.9
215,af,betpap,4,12-Jun,12,8,NA,18,NA,NA,3.4,1917.1
216,af,betpap,5,12-Jun,14,7,NA,18.5,NA,NA,3.5,1831.8
217,af,betpap,6,12-Jun,13,8,NA,10.6,NA,NA,3.58,1872.5
176,af,betpap,7,11-Jun,12,10,NA,10,NA,NA,3.43,1818.7
177,af,betpap,8,11-Jun,13,8,NA,12.6,NA,NA,2.94,1599
178,af,betpap,9,11-Jun,14,11,NA,12.9,NA,NA,4.36,2356.7
179,af,betpap,10,11-Jun,10,8,NA,9.9,NA,NA,4.01,2230.5
180,af,betpap,11,11-Jun,20,14,NA,33.1,NA,NA,3.24,1611
926,af,betpap,2_02,12-Jun,12,9,NA,9.9,NA,NA,5.24,NA
181,af,corsto,1,11-Jun,NA,NA,131.8,14.1,NA,NA,2.43,902.4
247,af,corsto,3,13-Jun,NA,NA,363.2,1.534,0.67,NA,3.59,1606.9
182,af,corsto,4,11-Jun,NA,NA,223.1,1.451,NA,NA,2.22,1011.3
183,af,corsto,5,11-Jun,NA,NA,319.8,2.971,NA,NA,2.45,1152
537,af,corsto,6,02-Jul,NA,NA,160,1.701,NA,NA,2.82,1486.5
538,af,corsto,7,02-Jul,NA,NA,181,1.809,NA,NA,2.06,918.5
539,af,corsto,8,02-Jul,NA,NA,161.6,0.954,NA,NA,2.37,1093.7
540,af,corsto,9,02-Jul,NA,NA,273.8,1.124,NA,NA,2.19,1074.8
541,af,corsto,10,02-Jul,NA,NA,232.4,1.732,1.538,NA,2.86,1129.2
594,af,corsto,11,03-Jul,NA,NA,272.4,2.348,NA,NA,NA,1121.1
218,af,loninv,1,12-Jun,NA,NA,123.4,1.275,NA,NA,2.79,1222.3
966,af,loninv,2,11-Jun,NA,NA,117.3,1.164,NA,NA,1.94,NA
184,af,loninv,3,11-Jun,NA,NA,139.6,1.201,NA,NA,1.59,1521.3
542,af,loninv,4,02-Jul,NA,NA,122.1,0.721,NA,NA,1.64,763.1
543,af,loninv,5,02-Jul,NA,NA,120.8,1.198,NA,NA,2.61,1165.2
595,af,loninv,6,03-Jul,NA,NA,140.6,1.111,NA,NA,NA,1607.9
917,af,loninv,8,13-Jun,NA,NA,106.2,1.007,NA,NA,2.37,NA
624,af,loninv,9,04-Jul,NA,NA,179,1.555,NA,NA,NA,1095.3
596,af,loninv,11,03-Jul,NA,NA,159.2,2.74,1.599,3.474,NA,1144.2
930,af,loninv,3_02,12-Jun,NA,NA,246.3,2.071,NA,NA,3.76,NA
185,af,popbal,1,11-Jun,7,6,NA,6.3,6.5,6.2,3.84,1618.5
186,af,popbal,2,11-Jun,28,21,NA,34.6,NA,NA,3.82,1340.8
187,af,popbal,2,11-Jun,28,21,NA,34.6,NA,NA,3.82,1861.9
188,af,popbal,2,12-Jun,18,12,NA,14.2,NA,NA,3,1340.8
189,af,popbal,2,12-Jun,18,12,NA,14.2,NA,NA,3,1861.9
190,af,popbal,3,11-Jun,9,7,NA,10.8,NA,NA,4.38,1890.7
544,af,popbal,4,02-Jul,11,8,NA,5.742,NA,NA,2.8,1331.5
545,af,popbal,5,02-Jul,10,8,NA,5.96,NA,NA,2.18,1037.7
546,af,popbal,6,02-Jul,7,4,NA,4.672,NA,NA,2.83,1368.3
547,af,popbal,7,02-Jul,6,5,NA,4.175,1.496,NA,3.18,1481
548,af,popbal,8,02-Jul,6,5,NA,2.499,NA,NA,3.04,1496.4
597,af,popbal,9,03-Jul,11,8,NA,9.906,NA,NA,NA,1760.7
549,af,poptre,3,02-Jul,6,8,NA,5.4,NA,NA,3.44,1780
550,af,poptre,3,02-Jul,6,8,NA,5.4,NA,NA,3.44,1209.4
551,af,poptre,4,02-Jul,7,5,NA,4.4,NA,NA,3.52,1695.8
552,af,poptre,5,02-Jul,6,5,NA,6,NA,NA,3.34,1743.7
553,af,poptre,6,02-Jul,15,8,NA,12.7,NA,NA,3.68,1938.6
1016,af,poptre,7,NA,NA,NA,NA,NA,NA,NA,NA,1831.2
250,af,poptre,8,13-Jun,6,4,NA,8.1,NA,NA,3.89,1873.6
251,af,poptre,8,13-Jun,6,4,NA,8.1,NA,NA,3.89,1623.7
252,af,poptre,9,13-Jun,9,4,NA,8,NA,NA,3.67,1616.7
191,af,poptre,10,11-Jun,NA,NA,420.9,3.6,NA,NA,2.9,1317.7
253,af,poptre,11,13-Jun,11,8,NA,11.7,NA,NA,3.31,1617.6
248,af,poptre,12,02-Jul,10,5,NA,7.844,NA,NA,3.46,1668.4
249,af,poptre,12,13-Jun,21,11,NA,17.5,NA,NA,3.89,1668.4
983,af,poptre,13,13-Jun,17,14,NA,6,NA,NA,4.03,NA
975,af,poptre,15,02-Jul,NA,NA,291,2.744,NA,NA,3.46,NA
219,af,riblac,1,12-Jun,NA,NA,46,0.408,NA,NA,1.29,770.8
220,af,riblac,2,12-Jun,NA,NA,53.1,0.687,NA,NA,2.7,1226.6
554,af,riblac,4,02-Jul,NA,NA,90,0.721,NA,NA,2.17,1141.7
555,af,riblac,4,02-Jul,NA,NA,90,0.721,NA,NA,2.17,471.9
556,af,riblac,6,02-Jul,NA,NA,107.3,0.636,0.6,NA,2.47,1508.5
557,af,riblac,7,02-Jul,NA,NA,92.1,0.799,NA,NA,2.68,1693.4
626,af,riblac,8,04-Jul,NA,NA,143.1,0.91,NA,NA,NA,832.4
948,af,riblac,9,03-Jul,NA,NA,NA,NA,NA,NA,NA,NA
598,af,riblac,10,03-Jul,NA,NA,129.4,0.803,NA,NA,NA,962.2
599,af,riblac,11,03-Jul,NA,NA,91.5,0.756,NA,NA,NA,1005.4
625,af,riblac,12,04-Jul,NA,NA,112.9,0.808,NA,NA,NA,846.6
221,af,riblac,20,12-Jun,NA,NA,75.5,0.504,NA,NA,2.04,1163.8
222,af,rosaci,1,12-Jun,NA,NA,154.6,0.842,NA,NA,2.68,1193.5
192,af,rosaci,2,11-Jun,NA,NA,184.6,1.452,NA,NA,3.03,1482.9
193,af,rosaci,3,11-Jun,NA,NA,144.3,1.051,NA,NA,3.57,1838.3
254,af,rosaci,4,13-Jun,NA,NA,151.3,1.063,NA,NA,2.37,1163.5
194,af,rosaci,5,11-Jun,NA,NA,176.4,1.508,NA,NA,4.42,2253.9
558,af,rosaci,8,02-Jul,NA,NA,98.6,0.722,NA,NA,2.3,1071.2
559,af,rosgym,1,02-Jul,NA,NA,101.7,0.639,NA,NA,3.05,1490
560,af,rosgym,2,02-Jul,NA,NA,83.6,0.438,NA,NA,1.7,811.7
561,af,rosgym,3,02-Jul,NA,NA,109.7,0.649,NA,NA,1.7,813.9
600,af,rosgym,4,03-Jul,NA,NA,96,0.543,NA,NA,NA,455.9
601,af,rosgym,5,03-Jul,NA,NA,157.2,0.808,NA,NA,NA,905.7
562,af,rosgym,6,02-Jul,NA,NA,91.4,0.749,NA,NA,2.53,1290.1
563,af,rosgym,7,02-Jul,NA,NA,150,1.077,NA,NA,2.23,1051.2
602,af,rosgym,8,03-Jul,NA,NA,120.3,0.808,NA,NA,NA,1055.4
564,af,rosgym,10,02-Jul,NA,NA,148.6,0.911,0.886,0.657,1.91,1054.3
627,af,rosgym,11,04-Jul,NA,NA,97.4,0.569,NA,NA,NA,763.9
195,af,rubida,1,11-Jun,NA,NA,81.2,0.645,0.571,0.521,3.27,994.2
910,af,rubida,4,02-Jul,NA,NA,71.5,0.477,NA,NA,1.6,NA
628,af,rubida,6,04-Jul,NA,NA,88.5,0.656,NA,NA,NA,624.9
565,af,rubida,10,02-Jul,NA,NA,87.6,0.607,NA,NA,3.07,874.3
566,af,rubida,11,02-Jul,NA,NA,146.1,0.767,NA,NA,2.59,654.1
603,af,rubida,12,03-Jul,NA,NA,106.1,0.649,NA,NA,NA,912.8
604,af,rubida,13,03-Jul,NA,NA,91.3,0.54,NA,NA,NA,758.5
629,af,rubida,14,04-Jul,NA,NA,131.4,1.082,NA,NA,NA,633.5
630,af,rubida,15,04-Jul,NA,NA,130.1,0.781,NA,NA,NA,818.5
631,af,rubida,16,04-Jul,NA,NA,124.7,0.793,NA,NA,NA,737.1
632,af,rubida,17,04-Jul,NA,NA,104.2,0.592,NA,NA,NA,611.4
255,af,rubpar,2,13-Jun,NA,NA,91,0.787,NA,NA,2.68,843.7
256,af,rubpar,3,13-Jun,NA,NA,116.9,0.846,NA,NA,3.81,1067.7
196,af,rubpar,4,11-Jun,NA,NA,69.1,0.636,NA,NA,2.67,730.3
567,af,rubpar,5,02-Jul,NA,NA,59.1,0.463,NA,NA,1.76,515.2
568,af,rubpar,6,02-Jul,NA,NA,64.4,0.484,0.552,0.426,2.16,615.2
1007,af,rubpar,7,NA,NA,NA,NA,NA,NA,NA,NA,609.1
875,af,rubpar,9,02-Jul,NA,NA,75.2,0.621,NA,NA,NA,NA
605,af,rubpar,10,03-Jul,NA,NA,127.6,0.69,NA,NA,NA,706.3
606,af,rubpar,11,03-Jul,NA,NA,104.3,0.709,NA,NA,NA,1349.8
607,af,rubpar,13,03-Jul,NA,NA,88.4,0.658,NA,NA,NA,1131.8
999,af,rubpar,14,NA,NA,NA,NA,NA,NA,NA,NA,886.2
608,af,rubpar,15,03-Jul,NA,NA,140,0.881,NA,NA,NA,792
609,af,rubpar,16,03-Jul,NA,NA,140,1.031,NA,NA,NA,814.3
961,af,rubpar,19,03-Jul,NA,NA,89.1,0.616,NA,NA,NA,NA
197,af,rubspe,1,11-Jun,NA,NA,121.8,0.628,0.636,0.784,2.55,769.6
198,af,rubspe,7,11-Jun,NA,NA,167.2,0.581,NA,NA,3.08,811.5
223,af,rubspe,10,12-Jun,NA,NA,76.6,0.409,NA,NA,1.12,293.7
199,af,samrac,1,11-Jun,NA,NA,219.4,3.071,NA,NA,5.29,1764
200,af,samrac,3,11-Jun,NA,NA,183.4,1.858,NA,NA,5.86,1698.3
633,af,samrac,4,04-Jul,NA,NA,180.5,1.91,NA,NA,NA,1087.9
634,af,samrac,5,04-Jul,NA,NA,197.5,1.87,NA,NA,NA,759
610,af,samrac,6,03-Jul,NA,NA,208.4,3.365,NA,NA,NA,888
611,af,samrac,7,03-Jul,NA,NA,221,1.726,1.384,1.791,NA,813.2
201,af,samrac,9,11-Jun,NA,NA,166.2,1.383,NA,NA,5.4,1349.5
612,af,samrac,10,03-Jul,NA,NA,169.1,2.919,NA,NA,NA,1451
635,af,samrac,12,04-Jul,NA,NA,251.2,2.45,NA,NA,NA,1108.8
636,af,samrac,13,04-Jul,NA,NA,235.6,2.054,NA,NA,NA,891.2
202,af,shecan,1,11-Jun,NA,NA,74.2,0.946,NA,NA,2.71,1524.2
257,af,shecan,2,13-Jun,NA,NA,103,1.315,NA,NA,2.19,1101.5
258,af,shecan,3,13-Jun,NA,NA,79.6,0.789,0.64,0.731,2.58,1204
203,af,shecan,4,11-Jun,NA,NA,87.7,0.958,NA,NA,3.34,1533
204,af,shecan,5,11-Jun,NA,NA,150.6,2.439,NA,NA,4.07,2225.7
569,af,shecan,6,02-Jul,NA,NA,157,0.986,1.087,0.88,3.3,1832.8
570,af,shecan,7,02-Jul,NA,NA,153.5,1.342,1.484,NA,3.33,1635.9
571,af,shecan,8,02-Jul,NA,NA,147.1,1.841,NA,NA,3.71,1777.7
572,af,shecan,9,02-Jul,NA,NA,104.4,1.139,NA,NA,2.8,1407.9
573,af,shecan,10,02-Jul,NA,NA,169.5,2.444,NA,NA,2.95,1459.8
205,af,sorsco,2,11-Jun,NA,NA,NA,2.825,NA,NA,4.94,2005
224,af,sorsco,3,13-Jun,NA,NA,173.3,3.2,4,NA,2.76,1189.4
225,af,sorsco,3,13-Jun,NA,NA,173.3,3.2,4,NA,2.76,1171.1
574,af,sorsco,6,02-Jul,NA,NA,132,1.226,0.984,NA,2.65,1005.3
575,af,sorsco,7,02-Jul,NA,NA,207.2,1.538,1.468,NA,4.13,2025.3
576,af,sorsco,8,02-Jul,NA,NA,438.8,1.799,NA,NA,2.94,1398.2
577,af,sorsco,9,02-Jul,NA,NA,364.2,1.271,1.407,NA,3.17,1422
578,af,sorsco,10,02-Jul,NA,NA,391.4,1.295,NA,NA,2.92,1415
579,af,sorsco,11,02-Jul,NA,NA,346.6,2.772,NA,NA,4.23,1938.9
613,af,sorsco,13,03-Jul,NA,NA,209.4,2.246,NA,NA,NA,1438.8
228,af,spibet,1,12-Jun,NA,NA,46.5,0.315,NA,NA,0.93,493.4
206,af,spibet,2,11-Jun,NA,NA,55,0.559,NA,NA,2.04,109.6
259,af,spibet,4,13-Jun,NA,NA,5.05,0.299,NA,NA,0.82,438.8
207,af,spibet,5,11-Jun,NA,NA,63.6,0.392,NA,NA,1.59,828.9
208,af,spibet,11,11-Jun,NA,NA,50.2,0.354,NA,NA,1.59,918.1
209,af,spibet,12,11-Jun,NA,NA,51.2,0.448,NA,NA,1.52,853.5
260,af,spibet,13,13-Jun,NA,NA,97.1,0.588,NA,NA,1.28,661.6
261,af,spibet,14,13-Jun,NA,NA,91.2,0.565,NA,NA,2.29,1171.9
229,af,spibet,20,12-Jun,NA,NA,57.7,0.361,NA,NA,1.06,482.8
947,af,spibet,06_02,11-Jun,NA,NA,51.6,0.283,NA,NA,0.91,487.3
230,af,spidou,1,12-Jun,NA,NA,83.2,0.509,NA,NA,1.7,1027.4
262,af,spidou,2,13-Jun,NA,NA,107.5,0.725,NA,NA,1.9,876.2
614,af,spidou,3,03-Jul,NA,NA,103.2,0.495,NA,NA,NA,1123.2
263,af,spidou,4,13-Jun,NA,NA,160.6,1.182,NA,NA,1.7,683.2
615,af,spidou,11,03-Jul,NA,NA,129.9,0.548,NA,NA,NA,1096.9
616,af,spidou,12,03-Jul,NA,NA,121.5,0.81,NA,NA,NA,1520.4
637,af,spidou,13,04-Jul,NA,NA,159.2,0.685,NA,NA,NA,712.8
265,af,spidou,19,13-Jun,NA,NA,139.9,1.078,NA,NA,1.69,687.8
231,af,spidou,20,12-Jun,NA,NA,98.1,0.65,NA,NA,1.72,887.3
965,af,spidou,19_02,13-Jun,NA,NA,141.4,0.682,NA,NA,2.34,896.1
232,af,spipyr,1,12-Jun,NA,NA,114.6,0.771,NA,NA,0.99,425.4
266,af,spipyr,2,13-Jun,NA,NA,132.3,0.993,NA,NA,2.91,1414.9
617,af,spipyr,11,03-Jul,NA,NA,100.3,0.6,NA,NA,NA,897.7
638,af,spipyr,12,04-Jul,NA,NA,115.2,0.576,NA,NA,NA,1018.3
873,af,spipyr,13,04-Jul,NA,NA,152,0.859,NA,NA,NA,NA
639,af,spipyr,14,04-Jul,NA,NA,108,0.507,NA,NA,NA,1077.9
267,af,spipyr,16,13-Jun,NA,NA,99.3,0.76,NA,NA,2.35,947.4
268,af,spipyr,17,13-Jun,NA,NA,97.6,0.591,NA,NA,1.94,895
269,af,spipyr,18,13-Jun,NA,NA,145.1,0.867,NA,NA,2.05,808.1
233,af,spipyr,19,12-Jun,NA,NA,87.4,0.788,NA,NA,1.96,1021.2
234,af,symalb,1,12-Jun,NA,NA,73.2,0.556,NA,NA,2.48,1363.5
235,af,symalb,2,12-Jun,NA,NA,122.2,0.699,NA,NA,2.89,1455.7
270,af,symalb,3,13-Jun,NA,NA,126.4,1.031,NA,NA,3.16,1700.5
210,af,symalb,4,11-Jun,NA,NA,115.2,0.78,NA,NA,3.8,2134.4
580,af,symalb,5,02-Jul,NA,NA,114.6,0.604,NA,NA,2.37,1360.3
581,af,symalb,6,02-Jul,NA,NA,95.2,0.55,0.59,NA,1.7,990.5
582,af,symalb,7,02-Jul,NA,NA,53.5,0.278,NA,NA,1.18,739.8
583,af,symalb,8,02-Jul,NA,NA,60,0.609,NA,NA,2.48,1292.9
211,af,symalb,11,11-Jun,NA,NA,83.4,0.872,NA,NA,3.48,1949.6
640,af,symalb,12,04-Jul,NA,NA,68.9,0.531,NA,NA,NA,852.6
236,af,vacmem,1,12-Jun,NA,NA,44.9,0.508,NA,NA,1.99,985.9
584,af,vacmem,3,02-Jul,NA,NA,48.2,0.521,NA,NA,2.25,1106.7
585,af,vacmem,4,02-Jul,NA,NA,30.4,0.293,NA,NA,1.45,724
586,af,vacmem,5,02-Jul,NA,NA,68.1,0.971,0.876,0.759,2.71,1456
641,af,vacmem,6,04-Jul,NA,NA,35.6,0.366,NA,NA,NA,676.4
642,af,vacmem,7,04-Jul,NA,NA,55,0.574,NA,NA,NA,1314.2
643,af,vacmem,8,04-Jul,NA,NA,51.2,0.677,NA,NA,NA,826.2
644,af,vacmem,9,04-Jul,NA,NA,50.1,0.864,NA,NA,NA,1024.6
645,af,vacmem,10,04-Jul,NA,NA,28.2,0.624,NA,NA,NA,1090.9
237,af,vacmem,20,12-Jun,NA,NA,43.8,0.493,NA,NA,2.54,1225.3
238,af,vibedu,1,12-Jun,NA,NA,111.6,0.866,NA,NA,3.99,1777.9
618,af,vibedu,2,03-Jul,NA,NA,74.8,0.822,NA,NA,NA,1590.3
239,af,vibedu,3_2,13-Jun,NA,NA,111.8,0.93,NA,NA,2.64,872.5
240,af,vibedu,3,12-Jun,NA,NA,111.8,0.744,NA,NA,2.83,1039.4
592,af,vibedu,4,02-Jul,NA,NA,80.4,1.085,NA,NA,1.91,883
587,af,vibedu,5,02-Jul,NA,NA,136,1.067,NA,NA,3.61,1773.8
588,af,vibedu,6,02-Jul,NA,NA,216.9,1.392,NA,NA,2.57,1206.6
589,af,vibedu,7,02-Jul,NA,NA,118.5,0.856,NA,NA,1.8,726
590,af,vibedu,8,02-Jul,NA,NA,84.7,0.571,NA,NA,2.73,1109.9
591,af,vibedu,11,02-Jul,NA,NA,123.5,0.898,NA,NA,2.84,1288
619,af,vibedu,12,03-Jul,NA,NA,150.9,1.345,NA,NA,NA,1003.3
834,kl,acegla,1,29-Jul,6,5,NA,40.8,5.136,4.69,2.99,1675.9
743,kl,acegla,3,26-Jul,NA,NA,470.3,2.546,2.037,NA,2.34,1319.6
650,kl,acegla,4,24-Jul,7,6,NA,13.1,NA,NA,3.3,1867.4
659,kl,acegla,5,24-Jul,11,6,NA,9.6,6.9,NA,3.26,1567.6
