"species","site","no","sample","lma"
"alnvir","mp","4","mp_alnvir_4",4.9158024561684
"alnvir","mp","5","mp_alnvir_5",5.75032326037051
"alnvir","mp","6","mp_alnvir_6",3.8940985431101
"alnvir","mp","7","mp_alnvir_7",3.96910789951432
"alnvir","mp","8","mp_alnvir_8",2.67878686715555
"alnvir","mp","9","mp_alnvir_9",NA
"amealn","mp","1","mp_amealn_1",7.66047933980275
"amealn","mp","10","mp_amealn_10",4.24105386321178
"amealn","mp","11","mp_amealn_11",4.88039139062487
"amealn","mp","12","mp_amealn_12",3.25231969343517
"amealn","mp","2","mp_amealn_2",4.62197399950856
"amealn","mp","3","mp_amealn_3",5.16520344804344
"amealn","mp","4","mp_amealn_4",19.0613482271024
"amealn","mp","5","mp_amealn_5",4.74028239665322
"amealn","mp","6","mp_amealn_6",3.95774362606513
"amealn","mp","7","mp_amealn_7",4.33652518272933
"amealn","mp","8","mp_amealn_8",4.51179587540053
"amealn","mp","9","mp_amealn_9",5.91067886514032
"corsto","mp","1","mp_corsto_1",4.30804199809766
"corsto","mp","10","mp_corsto_10",4.86889946367375
"corsto","mp","10_2","mp_corsto_10_2",0.546241969925632
"corsto","mp","2","mp_corsto_2",2.40121260512385
"corsto","mp","20","mp_corsto_20",5.39135280982138
"corsto","mp","3","mp_corsto_3",4.06824882966307
"corsto","mp","5","mp_corsto_5",2.83811494026473
"corsto","mp","6","mp_corsto_6",2.78629353781848
"corsto","mp","7","mp_corsto_7",2.4248660897501
"corsto","mp","8","mp_corsto_8",NA
"corsto","mp","9","mp_corsto_9",2.87348308280708
"loninv","mp","10","mp_loninv_10",2.99640192746401
"loninv","mp","11","mp_loninv_11",3.45484782735603
"loninv","mp","12","mp_loninv_12",3.82326747955961
"loninv","mp","13","mp_loninv_13",NA
"loninv","mp","2","mp_loninv_2",NA
"loninv","mp","3","mp_loninv_3",5.21733158088407
"loninv","mp","4","mp_loninv_4",NA
"loninv","mp","5","mp_loninv_5",3.38229954986787
"loninv","mp","6","mp_loninv_6",3.57953098923774
"loninv","mp","7","mp_loninv_7",4.23408212280782
"loninv","mp","7_02","mp_loninv_7_02",NA
"loninv","mp","8","mp_loninv_8",NA
"loninv","mp","9","mp_loninv_9",3.31747056163047
"menfer","mp","1","mp_menfer_1",1.9620900389826
"menfer","mp","10","mp_menfer_10",2.49579876081864
"menfer","mp","10_2","mp_menfer_10_2",2.73549568315128
"menfer","mp","12","mp_menfer_12",2.56571771284245
"menfer","mp","2","mp_menfer_2",1.98089122521934
"menfer","mp","4","mp_menfer_4",2.00821953708139
"menfer","mp","5","mp_menfer_5",2.67694279780502
"menfer","mp","6","mp_menfer_6",1.91943314896015
"menfer","mp","7","mp_menfer_7",1.66511171648047
"menfer","mp","8","mp_menfer_8",NA
"menfer","mp","9","mp_menfer_9",1.95594108535906
"popbal","mp","10","mp_popbal_10",5.12596493194901
"popbal","mp","10_02","mp_popbal_10_02",8.63150852348312
"popbal","mp","11","mp_popbal_11",7.12445802655926
"popbal","mp","12","mp_popbal_12",6.87068587122895
"popbal","mp","13","mp_popbal_13",6.3735818776894
"popbal","mp","14","mp_popbal_14",6.773161828925
"popbal","mp","15","mp_popbal_15",6.32830114092653
"popbal","mp","6","mp_popbal_6",7.19352349777814
"popbal","mp","7","mp_popbal_7",NA
"popbal","mp","8","mp_popbal_8",1.38831039985523
"popbal","mp","9","mp_popbal_9",8.56109261392232
"poptre","mp","10","mp_poptre_10",5.60347487929389
"poptre","mp","11","mp_poptre_11",6.0362002979414
"poptre","mp","12","mp_poptre_12",6.08282321177561
"poptre","mp","13","mp_poptre_13",6.75652036552166
"poptre","mp","5","mp_poptre_5",6.5388295620409
"poptre","mp","6","mp_poptre_6",4.50172698723067
"poptre","mp","7","mp_poptre_7",8.00774834893563
"poptre","mp","7_02","mp_poptre_7_02",4.63331828403813
"poptre","mp","8","mp_poptre_8",6.56322113852436
"poptre","mp","9","mp_poptre_9",5.7389926362805
"rhoalb","mp","1","mp_rhoalb_1",5.04774374611028
"rhoalb","mp","10","mp_rhoalb_10",2.55049578607951
"rhoalb","mp","11","mp_rhoalb_11",4.0932433707253
"rhoalb","mp","12","mp_rhoalb_12",2.51324763229276
"rhoalb","mp","2","mp_rhoalb_2",2.2858707473451
"rhoalb","mp","3","mp_rhoalb_3",3.22912158117541
"rhoalb","mp","4","mp_rhoalb_4",2.49695022771333
"rhoalb","mp","5","mp_rhoalb_5",NA
"rhoalb","mp","8","mp_rhoalb_8",3.70055427216053
"rhoalb","mp","9","mp_rhoalb_9",2.7020601706631
"riblac","mp","1","mp_riblac_1",4.89015286357326
"riblac","mp","10","mp_riblac_10",4.51188242057581
"riblac","mp","11","mp_riblac_11",2.32818644767901
"riblac","mp","2","mp_riblac_2",2.62061601358942
"riblac","mp","3","mp_riblac_3",3.46969756911244
"riblac","mp","4","mp_riblac_4",5.54231882885996
"riblac","mp","5","mp_riblac_5",3.03369403222891
"riblac","mp","6","mp_riblac_6",2.67469069046567
"riblac","mp","7","mp_riblac_7",3.61221418299613
"riblac","mp","8","mp_riblac_8",4.27858574522634
"riblac","mp","9","mp_riblac_9",NA
"rubpar","mp","1","mp_rubpar_1",9.65128024540913
"rubpar","mp","10","mp_rubpar_10",9.78595938977829
"rubpar","mp","2","mp_rubpar_2",2.50131113381736
"rubpar","mp","21","mp_rubpar_21",NA
"rubpar","mp","3","mp_rubpar_3",1.83728246824521
"rubpar","mp","3_02","mp_rubpar_3_02",NA
"rubpar","mp","4","mp_rubpar_4",8.64143588534203
"rubpar","mp","5","mp_rubpar_5",12.7853116426271
"rubpar","mp","6","mp_rubpar_6",2.52312510101722
"rubpar","mp","7","mp_rubpar_7",2.72436226881503
"rubpar","mp","7_2","mp_rubpar_7_2",2.06527553437462
"rubpar","mp","8","mp_rubpar_8",2.47713921691643
"rubpar","mp","9","mp_rubpar_9",8.42457059802658
"samrac","mp","1","mp_samrac_1",2.13029126984423
"samrac","mp","10","mp_samrac_10",1.87040598438375
"samrac","mp","11","mp_samrac_11",2.98494752210342
"samrac","mp","2","mp_samrac_2",3.72541778534997
"samrac","mp","3","mp_samrac_3",2.69247792284839
"samrac","mp","4","mp_samrac_4",2.47164509018151
"samrac","mp","5","mp_samrac_5",2.09872691495781
"samrac","mp","6","mp_samrac_6",3.57696336993049
"samrac","mp","7","mp_samrac_7",5.31414101711185
"samrac","mp","8","mp_samrac_8",2.73161180297559
"samrac","mp","9","mp_samrac_9",3.25662526194022
"shecan","mp","10","mp_shecan_10",3.57540306917385
"shecan","mp","11","mp_shecan_11",4.14558661355961
"shecan","mp","2","mp_shecan_2",6.09399968166001
"shecan","mp","3","mp_shecan_3",NA
"shecan","mp","4","mp_shecan_4",5.87311956440687
"shecan","mp","5","mp_shecan_5",7.07598522128432
"shecan","mp","5_02","mp_shecan_5_02",NA
"shecan","mp","6","mp_shecan_6",4.76295697072683
"shecan","mp","7","mp_shecan_7",7.28296786623043
"shecan","mp","8","mp_shecan_8",6.40531788961081
"shecan","mp","9","mp_shecan_9",6.47947543066176
"sorsco","mp","1","mp_sorsco_1",4.6220604302587
"sorsco","mp","10","mp_sorsco_10",4.54825313423872
"sorsco","mp","11","mp_sorsco_11",3.91599858873847
"sorsco","mp","11_b","mp_sorsco_11_b",5.00503973517612
"sorsco","mp","12","mp_sorsco_12",3.64958462455752
"sorsco","mp","13","mp_sorsco_13",4.14361115746462
"sorsco","mp","14","mp_sorsco_14",4.02654006500474
"sorsco","mp","3","mp_sorsco_3",6.54625721908881
"sorsco","mp","4","mp_sorsco_4",3.89737043584732
"sorsco","mp","8","mp_sorsco_8",5.41761414077393
"spibet","mp","1","mp_spibet_1",4.34070009460834
"spibet","mp","10","mp_spibet_10",2.58018005627497
"spibet","mp","2","mp_spibet_2",4.02926397392952
"spibet","mp","3","mp_spibet_3",5.08175846297128
"spibet","mp","4","mp_spibet_4",3.901380905757
"spibet","mp","5","mp_spibet_5",3.09338866202278
"spibet","mp","6","mp_spibet_6",3.08937022906964
"spibet","mp","7","mp_spibet_7",2.56740343311634
"spibet","mp","8","mp_spibet_8",3.25101902941584
"spibet","mp","9","mp_spibet_9",2.84856535469284
"spipyr","mp","1","mp_spipyr_1",2.26891335475623
"spipyr","mp","1_02","mp_spipyr_1_02",NA
"spipyr","mp","10","mp_spipyr_10",3.17870768901398
"spipyr","mp","2","mp_spipyr_2",3.33876646665565
"spipyr","mp","3","mp_spipyr_3",4.45475205283171
"spipyr","mp","4","mp_spipyr_4",3.50286656793113
"spipyr","mp","5","mp_spipyr_5",4.47320742376436
"spipyr","mp","6","mp_spipyr_6",3.49339290235325
"spipyr","mp","7","mp_spipyr_7",3.6256686149853
"spipyr","mp","8","mp_spipyr_8",2.23352910430653
"spipyr","mp","9","mp_spipyr_9",4.04846097025727
"symalb","mp","1","mp_symalb_1",2.73989614380865
"symalb","mp","10","mp_symalb_10",5.68697345070116
"symalb","mp","11","mp_symalb_11",4.19799993756704
"symalb","mp","3","mp_symalb_3",5.85532555358326
"symalb","mp","4","mp_symalb_4",2.52655173726781
"symalb","mp","5","mp_symalb_5",4.19247791110387
"symalb","mp","6","mp_symalb_6",3.48630685519928
"symalb","mp","7","mp_symalb_7",3.89397820378552
"symalb","mp","8","mp_symalb_8",3.90225942307562
"symalb","mp","9","mp_symalb_9",5.69451375978843
"vacmem","mp","1","mp_vacmem_1",2.23193735295886
"vacmem","mp","11","mp_vacmem_11",2.8607315917767
"vacmem","mp","12","mp_vacmem_12",3.10172649127414
"vacmem","mp","3","mp_vacmem_3",4.33749474567966
"vacmem","mp","4","mp_vacmem_4",3.41696559461393
"vacmem","mp","5","mp_vacmem_5",7.71446470604987
"vacmem","mp","7","mp_vacmem_7",2.32018207915852
"vacmem","mp","8","mp_vacmem_8",2.74568515879192
"vacmem","mp","9","mp_vacmem_9",3.94702618435631
"vibedu","mp","1","mp_vibedu_1",NA
"vibedu","mp","10","mp_vibedu_10",3.11075899516872
"vibedu","mp","12","mp_vibedu_12",3.27023602229048
"vibedu","mp","13","mp_vibedu_13",2.41258331273639
"vibedu","mp","14","mp_vibedu_14",NA
"vibedu","mp","2","mp_vibedu_2",3.099172978491
"vibedu","mp","4","mp_vibedu_4",2.40654936943765
"vibedu","mp","5","mp_vibedu_5",6.78859363146731
"vibedu","mp","7","mp_vibedu_7",2.98238117369196
"vibedu","mp","8","mp_vibedu_8",2.21003942131434
"vibedu","mp","9","mp_vibedu_9",3.24085659621125
"acegla","sm","10","sm_acegla_10",3.89705741542292
"acegla","sm","11","sm_acegla_11",2.10387782829666
"acegla","sm","13","sm_acegla_13",2.61777430221755
"acegla","sm","14","sm_acegla_14",3.20962291602679
"acegla","sm","15","sm_acegla_15",2.64591030336407
"acegla","sm","2","sm_acegla_2",3.28262242724569
"acegla","sm","3","sm_acegla_3",3.35685013662859
"acegla","sm","7","sm_acegla_7",2.32259264929587
"acegla","sm","8","sm_acegla_8",3.55231296440664
"acegla","sm","9","sm_acegla_9",3.36764281702955
"alninc","sm","1","sm_alninc_1",7.07899234416657
"alninc","sm","1_June3","sm_alninc_1_June3",5.55425917808978
"alninc","sm","19","sm_alninc_19",3.23381684011221
"alninc","sm","2","sm_alninc_2",2.91317883955019
"alninc","sm","2_2","sm_alninc_2_2",NA
"alninc","sm","20","sm_alninc_20",2.35567895121788
"alninc","sm","21","sm_alninc_21",2.83688114349655
"alninc","sm","3","sm_alninc_3",3.74084534827243
"alninc","sm","4","sm_alninc_4",4.2852350863837
"alninc","sm","5","sm_alninc_5",2.73402594589807
"alninc","sm","8","sm_alninc_8",2.95814315524327
"alnvir","sm","10","sm_alnvir_10",3.40212832653591
"alnvir","sm","11","sm_alnvir_11",3.85352202555338
"alnvir","sm","16","sm_alnvir_16",NA
"alnvir","sm","17","sm_alnvir_17",3.87416490621307
"alnvir","sm","18","sm_alnvir_18",4.85436496942583
"alnvir","sm","19","sm_alnvir_19",5.17698329615214
"alnvir","sm","2","sm_alnvir_2",3.67930601160705
"alnvir","sm","2_2","sm_alnvir_2_2",3.45488795062025
"alnvir","sm","20","sm_alnvir_20",3.58096265672887
"alnvir","sm","6","sm_alnvir_6",NA
"alnvir","sm","8","sm_alnvir_8",3.09516972297591
"alnvir","sm","9","sm_alnvir_9",22.8819664520356
"amealn","sm","1","sm_amealn_1",5.97487166103897
"amealn","sm","10","sm_amealn_10",4.04995594162199
"amealn","sm","2","sm_amealn_2",3.98694267677149
"amealn","sm","3","sm_amealn_3",4.21324451592224
"amealn","sm","3?","sm_amealn_3?",NA
"amealn","sm","4","sm_amealn_4",NA
"amealn","sm","5","sm_amealn_5",4.9230473049799
"amealn","sm","6","sm_amealn_6",5.45202006715019
"amealn","sm","7","sm_amealn_7",5.7380173814189
"amealn","sm","8","sm_amealn_8",3.79359503265794
"amealn","sm","9","sm_amealn_9",3.59799154023763
"betpap","sm","1","sm_betpap_1",2.93317732181786
"betpap","sm","10","sm_betpap_10",2.87468606167119
"betpap","sm","13","sm_betpap_13",3.46729168016931
"betpap","sm","2","sm_betpap_2",2.5456418289106
"betpap","sm","4","sm_betpap_4",3.07933156680089
"betpap","sm","5","sm_betpap_5",2.98477425974019
"betpap","sm","6","sm_betpap_6",2.34637460313214
"betpap","sm","7","sm_betpap_7",2.45345550862268
"betpap","sm","7_2","sm_betpap_7_2",2.82278716212535
"betpap","sm","8","sm_betpap_8",3.12501469006424
"betpap","sm","9","sm_betpap_9",2.75148324423874
"corsto","sm","1","sm_corsto_1",NA
"corsto","sm","10","sm_corsto_10",2.40310662615723
"corsto","sm","11","sm_corsto_11",2.57916672205091
"corsto","sm","12","sm_corsto_12",2.70117077566089
"corsto","sm","13","sm_corsto_13",3.18985995219191
"corsto","sm","14","sm_corsto_14",3.54592835425142
"corsto","sm","2","sm_corsto_2",3.34226344451618
"corsto","sm","3","sm_corsto_3",2.9523647342932
"corsto","sm","4","sm_corsto_4",2.16659844586796
"corsto","sm","5","sm_corsto_5",2.3600981995975
"corsto","sm","6","sm_corsto_6",3.5030303034414
"corsto","sm","7","sm_corsto_7",2.29930228998006
"corsto","sm","8","sm_corsto_8",2.34937719215015
"corsto","sm","9","sm_corsto_9",NA
"loninv","sm","1","sm_loninv_1",3.75264834103006
"loninv","sm","11","sm_loninv_11",4.38535021300068
"loninv","sm","2","sm_loninv_2",3.39754262460486
"loninv","sm","3","sm_loninv_3",2.69230958051241
"loninv","sm","4","sm_loninv_4",2.41603706053109
"loninv","sm","5","sm_loninv_5",3.236736699773
"loninv","sm","6","sm_loninv_6",3.21721459460558
"loninv","sm","7","sm_loninv_7",3.82710673421279
"loninv","sm","8","sm_loninv_8",2.80291984081063
"loninv","sm","9","sm_loninv_9",2.28717106952648
"menfer","sm","10","sm_menfer_10",1.85598671131858
"menfer","sm","11","sm_menfer_11",1.95006228443094
"menfer","sm","12","sm_menfer_12",2.22091577490964
"menfer","sm","13","sm_menfer_13",2.16930540188555
"menfer","sm","14","sm_menfer_14",2.22094959034229
"menfer","sm","2","sm_menfer_2",NA
"menfer","sm","4","sm_menfer_4",2.00439308141005
"menfer","sm","6","sm_menfer_6",1.96992572051852
"menfer","sm","7","sm_menfer_7",1.70052065550958
"menfer","sm","8","sm_menfer_8",2.8231221333356
"menfer","sm","9","sm_menfer_9",3.45886948794872
"popbal","sm","1","sm_popbal_1",2.4543251150456
"popbal","sm","10","sm_popbal_10",3.64639492830679
"popbal","sm","11","sm_popbal_11",4.0083273417132
"popbal","sm","12","sm_popbal_12",5.18172976725147
"popbal","sm","20","sm_popbal_20",3.17548324600008
"popbal","sm","3","sm_popbal_3",4.40300584741638
"popbal","sm","5","sm_popbal_5",5.09302245835885
"popbal","sm","6","sm_popbal_6",4.18144760331208
"popbal","sm","8","sm_popbal_8",3.43608667083812
"popbal","sm","9","sm_popbal_9",4.05350826903474
"poptre","sm","1","sm_poptre_1",NA
"poptre","sm","10","sm_poptre_10",NA
"poptre","sm","11","sm_poptre_11",8.44408620230275
"poptre","sm","12","sm_poptre_12",8.14677325280352
"poptre","sm","13","sm_poptre_13",7.38648392883638
"poptre","sm","14","sm_poptre_14",NA
"poptre","sm","15","sm_poptre_15",4.2063153581905
"poptre","sm","16","sm_poptre_16",4.15482484891998
"poptre","sm","17","sm_poptre_17",3.26597243354274
"poptre","sm","18","sm_poptre_18",4.51829314776454
"poptre","sm","19","sm_poptre_19",4.48153895340926
"poptre","sm","2","sm_poptre_2",5.32412677256634
"poptre","sm","3","sm_poptre_3",5.4431397559582
"poptre","sm","4","sm_poptre_4",4.91096354174395
"poptre","sm","5","sm_poptre_5",4.84221868069906
"poptre","sm","7","sm_poptre_7",6.67342795283184
"rhoalb","sm","1","sm_rhoalb_1",NA
"rhoalb","sm","10","sm_rhoalb_10",NA
"rhoalb","sm","2","sm_rhoalb_2",NA
"rhoalb","sm","3","sm_rhoalb_3",NA
"rhoalb","sm","4","sm_rhoalb_4",NA
"rhoalb","sm","5","sm_rhoalb_5",NA
"rhoalb","sm","6","sm_rhoalb_6",NA
"rhoalb","sm","7","sm_rhoalb_7",NA
"rhoalb","sm","8","sm_rhoalb_8",NA
"rhoalb","sm","9","sm_rhoalb_9",NA
"riblac","sm","10","sm_riblac_10",NA
"riblac","sm","11","sm_riblac_11",1.88497448319134
"riblac","sm","12","sm_riblac_12",3.63694056784759
"riblac","sm","12_02","sm_riblac_12_02",2.43417763922816
"riblac","sm","2","sm_riblac_2",5.50932024470008
"riblac","sm","3","sm_riblac_3",4.30491692487048
"riblac","sm","5","sm_riblac_5",2.62680546817296
"riblac","sm","6","sm_riblac_6",2.87995585864172
"riblac","sm","7","sm_riblac_7",2.27788876918812
"riblac","sm","8","sm_riblac_8",NA
"riblac","sm","9","sm_riblac_9",3.13595790099922
"rubpar","sm","1","sm_rubpar_1",2.41895875334967
"rubpar","sm","10","sm_rubpar_10",2.88797242193211
"rubpar","sm","2","sm_rubpar_2",2.88066348990105
"rubpar","sm","3","sm_rubpar_3",2.04016474797305
"rubpar","sm","4","sm_rubpar_4",3.15364803436325
"rubpar","sm","5","sm_rubpar_5",2.96816996218632
"rubpar","sm","6","sm_rubpar_6",3.0552850702959
"rubpar","sm","7","sm_rubpar_7",2.90074799298453
"rubpar","sm","8","sm_rubpar_8",2.61820232252018
"rubpar","sm","9","sm_rubpar_9",2.94411489621127
"samrac","sm","10","sm_samrac_10",2.21338857571019
"samrac","sm","11","sm_samrac_11",2.91732708117331
"samrac","sm","2","sm_samrac_2",2.3546335110097
"samrac","sm","3","sm_samrac_3",3.14880015608564
"samrac","sm","4","sm_samrac_4",2.09866905045357
"samrac","sm","5","sm_samrac_5",3.60869276528987
"samrac","sm","6","sm_samrac_6",3.00603234472383
"samrac","sm","7","sm_samrac_7",2.80519904816337
"samrac","sm","8","sm_samrac_8",2.98310635993111
"samrac","sm","9","sm_samrac_9",3.42023513770009
"shecan","sm","1","sm_shecan_1",4.44041857605145
"shecan","sm","10","sm_shecan_10",3.63649163670965
"shecan","sm","11","sm_shecan_11",6.27819376515247
"shecan","sm","12","sm_shecan_12",5.30392151713836
"shecan","sm","16","sm_shecan_16",5.94767351051983
"shecan","sm","5","sm_shecan_5",3.89737795668929
"shecan","sm","6","sm_shecan_6",4.02088682269981
"shecan","sm","7","sm_shecan_7",6.41615684705137
"shecan","sm","8","sm_shecan_8",4.6158494425006
"shecan","sm","9","sm_shecan_9",4.11001538714078
"sorsco","sm","1","sm_sorsco_1",4.06624892431277
"sorsco","sm","10","sm_sorsco_10",6.24613497551043
"sorsco","sm","11","sm_sorsco_11",4.05808960320751
"sorsco","sm","12","sm_sorsco_12",3.59442678397468
"sorsco","sm","12_02","sm_sorsco_12_02",5.54271054131717
"sorsco","sm","4","sm_sorsco_4",3.30075569343407
"sorsco","sm","5","sm_sorsco_5",2.77228727992252
"sorsco","sm","6","sm_sorsco_6",3.77697554950226
"sorsco","sm","7","sm_sorsco_7",3.68676481022497
"sorsco","sm","9","sm_sorsco_9",5.02214180523696
"spibet","sm","1","sm_spibet_1",2.15606842943249
"spibet","sm","10","sm_spibet_10",2.58478718598806
"spibet","sm","2","sm_spibet_2",2.20445106372861
"spibet","sm","3","sm_spibet_3",2.36938365103886
"spibet","sm","4","sm_spibet_4",1.68185467060596
"spibet","sm","5","sm_spibet_5",3.00020132300064
"spibet","sm","6","sm_spibet_6",2.4329771230696
"spibet","sm","7","sm_spibet_7",1.84433602885549
"spibet","sm","8","sm_spibet_8",1.77927522064027
"spibet","sm","9","sm_spibet_9",1.61198992451286
"spipyr","sm","1","sm_spipyr_1",2.47850418786046
"spipyr","sm","10","sm_spipyr_10",2.2684400536152
"spipyr","sm","2","sm_spipyr_2",2.75092514467696
"spipyr","sm","3","sm_spipyr_3",2.16691255956303
"spipyr","sm","4","sm_spipyr_4",2.12378621582161
"spipyr","sm","5","sm_spipyr_5",2.1411359483982
"spipyr","sm","6","sm_spipyr_6",NA
"spipyr","sm","7","sm_spipyr_7",1.79199622125138
"spipyr","sm","8","sm_spipyr_8",1.86200951297215
"spipyr","sm","9","sm_spipyr_9",2.41721673764421
"symalb","sm","11","sm_symalb_11",2.5129428084818
"symalb","sm","12","sm_symalb_12",7.47841029755869
"symalb","sm","12_02","sm_symalb_12_02",3.32010430169875
"symalb","sm","2","sm_symalb_2",3.45222812210016
"symalb","sm","4","sm_symalb_4",3.68881761928097
"symalb","sm","5","sm_symalb_5",5.99650232977755
"symalb","sm","6","sm_symalb_6",3.39778892989821
"symalb","sm","7","sm_symalb_7",5.13384471156982
"symalb","sm","8","sm_symalb_8",4.12813705709999
"symalb","sm","9","sm_symalb_9",4.55457215073711
"symalb","sm","9_02","sm_symalb_9_02",3.53992333620533
"vacmem","sm","1","sm_vacmem_1",1.77475557432802
"vacmem","sm","10","sm_vacmem_10",2.97736229006064
"vacmem","sm","2","sm_vacmem_2",1.38936574683624
"vacmem","sm","3","sm_vacmem_3",0.27638314724233
"vacmem","sm","4","sm_vacmem_4",2.78714178619512
"vacmem","sm","5","sm_vacmem_5",1.67429155294005
"vacmem","sm","6","sm_vacmem_6",1.56312167443563
"vacmem","sm","7","sm_vacmem_7",1.68043551359138
"vacmem","sm","8","sm_vacmem_8",1.73122222822728
"vacmem","sm","9","sm_vacmem_9",3.75485537733682
"vibedu","sm","1","sm_vibedu_1",3.07590982933727
"vibedu","sm","10","sm_vibedu_10",3.17797930288253
"vibedu","sm","11","sm_vibedu_11",2.58731667075159
"vibedu","sm","12","sm_vibedu_12",3.86059569753685
"vibedu","sm","19","sm_vibedu_19",3.64735030937123
"vibedu","sm","20","sm_vibedu_20",4.08111329629213
"vibedu","sm","5","sm_vibedu_5",2.80716024685496
"vibedu","sm","7","sm_vibedu_7",4.72632617989405
"vibedu","sm","8","sm_vibedu_8",4.43335166330325
"vibedu","sm","9","sm_vibedu_9",2.88087989719846
