"sample","species","site","no","vol","stem.weight","ssd"
"sm_shecan_11","shecan","sm","11",1.61,850.9,528.509316770186
"sm_shecan_12","shecan","sm","12",2.54,1432.1,563.818897637795
"sm_shecan_16","shecan","sm","16",1.65,753.4,456.606060606061
"af_shecan_2","shecan","af","2",2.19,1101.5,502.96803652968
"kl_shecan_2","shecan","kl","2",2.67,1445.9,541.535580524345
"mp_shecan_2","shecan","mp","2",2.6,1221.3,469.730769230769
"af_shecan_3","shecan","af","3",2.58,1204,466.666666666667
"kl_shecan_3","shecan","kl","3",3.07,1626.7,529.869706840391
"mp_shecan_3","shecan","mp","3",3.87,2080.4,537.571059431525
"af_shecan_4","shecan","af","4",3.34,1533,458.982035928144
"kl_shecan_4","shecan","kl","4",2.53,1476.6,583.636363636364
"mp_shecan_4","shecan","mp","4",3.33,1494.5,448.798798798799
"kl_shecan_4_02","shecan","kl","4_02",2.43,1366,562.139917695473
"af_shecan_5","shecan","af","5",4.07,2225.7,546.855036855037
"kl_shecan_5","shecan","kl","5",2.44,1318.1,540.204918032787
"mp_shecan_5","shecan","mp","5",3.44,1721.3,500.377906976744
"sm_shecan_5","shecan","sm","5",2.15,1109.5,516.046511627907
"af_shecan_6","shecan","af","6",3.3,1832.8,555.393939393939
"kl_shecan_6","shecan","kl","6",3.07,1490.7,485.57003257329
"mp_shecan_6","shecan","mp","6",2.61,1192.5,456.896551724138
"sm_shecan_6","shecan","sm","6",3.04,1685.6,554.473684210526
"af_shecan_7","shecan","af","7",3.33,1635.9,491.261261261261
"kl_shecan_7","shecan","kl","7",2.71,1291.3,476.494464944649
"mp_shecan_7","shecan","mp","7",3.44,1720,500
"sm_shecan_7","shecan","sm","7",2.6,1191.4,458.230769230769
"af_shecan_8","shecan","af","8",3.71,1777.7,479.164420485175
"kl_shecan_8","shecan","kl","8",3.7,1733.7,468.567567567568
"mp_shecan_8","shecan","mp","8",4.27,2408.9,564.145199063232
"sm_shecan_8","shecan","sm","8",2.53,1363.9,539.090909090909
"af_shecan_9","shecan","af","9",2.8,1407.9,502.821428571429
"kl_shecan_9","shecan","kl","9",1.67,927.4,555.329341317365
"mp_shecan_9","shecan","mp","9",3.77,1774.7,470.742705570292
"sm_shecan_9","shecan","sm","9",2.64,1288.5,488.068181818182
"kl_sorsco_","sorsco","kl","",NA,1607,NA
"kl_sorsco_1","sorsco","kl","1",2.43,1358.6,559.094650205761
"kl_sorsco_1","sorsco","kl","1",2.43,1403.2,577.448559670782
"mp_sorsco_1","sorsco","mp","1",2.86,1249.4,436.853146853147
"sm_sorsco_1","sorsco","sm","1",4.62,2382,515.584415584416
"af_sorsco_10","sorsco","af","10",2.92,1415,484.58904109589
"kl_sorsco_10","sorsco","kl","10",3.23,1854.9,574.272445820434
"mp_sorsco_10","sorsco","mp","10",3.19,1591.3,498.84012539185
"sm_sorsco_10","sorsco","sm","10",3.52,1275.2,362.272727272727
"af_sorsco_11","sorsco","af","11",4.23,1938.9,458.368794326241
"mp_sorsco_11","sorsco","mp","11",3.76,1527.6,406.276595744681
"sm_sorsco_11","sorsco","sm","11",2.6,927.2,356.615384615385
"mp_sorsco_11_b","sorsco","mp","11_b",4.51,1929.6,427.849223946785
"mp_sorsco_12","sorsco","mp","12",4.02,1924.7,478.781094527363
"sm_sorsco_12","sorsco","sm","12",3.22,1287.9,399.968944099379
"sm_sorsco_12_02","sorsco","sm","12_02",3.25,1234,379.692307692308
"af_sorsco_13","sorsco","af","13",3.24,1438.8,444.074074074074
"mp_sorsco_13","sorsco","mp","13",2.8,1238.4,442.285714285714
"mp_sorsco_14","sorsco","mp","14",2.92,1300.4,445.342465753425
"af_sorsco_2","sorsco","af","2",4.94,2005,405.87044534413
"kl_sorsco_2","sorsco","kl","2",2.98,1597.8,536.174496644295
"af_sorsco_3","sorsco","af","3",2.68,1171.1,436.977611940298
"kl_sorsco_3","sorsco","kl","3",3.17,1644.2,518.675078864353
"mp_sorsco_3","sorsco","mp","3",2.22,1095,493.243243243243
"af_sorsco_3_02","sorsco","af","3_02",2.76,1189.4,430.942028985507
"kl_sorsco_4","sorsco","kl","4",2.8,1416.4,505.857142857143
"mp_sorsco_4","sorsco","mp","4",4.01,1632.6,407.13216957606
"sm_sorsco_4","sorsco","sm","4",4.79,2080.5,434.342379958246
"kl_sorsco_5","sorsco","kl","5",2.47,1242,502.834008097166
"sm_sorsco_5","sorsco","sm","5",2.57,1097.9,427.198443579767
"af_sorsco_6","sorsco","af","6",2.65,1005.3,379.358490566038
"kl_sorsco_6","sorsco","kl","6",2.99,NA,NA
"sm_sorsco_6","sorsco","sm","6",2.61,1284.9,492.298850574713
"af_sorsco_7","sorsco","af","7",4.13,2025.3,490.387409200969
"kl_sorsco_7","sorsco","kl","7",3.47,NA,NA
"sm_sorsco_7","sorsco","sm","7",2.65,998.9,376.943396226415
"af_sorsco_8","sorsco","af","8",2.94,1398.2,475.578231292517
"kl_sorsco_8","sorsco","kl","8",3.33,1546.3,464.354354354354
"mp_sorsco_8","sorsco","mp","8",4,1470.4,367.6
"af_sorsco_9","sorsco","af","9",3.17,1422,448.580441640379
"kl_sorsco_9","sorsco","kl","9",3.11,1552.5,499.1961414791
"sm_sorsco_9","sorsco","sm","9",3.06,1171.5,382.843137254902
"af_spibet_1","spibet","af","1",0.93,493.4,530.537634408602
"mp_spibet_1","spibet","mp","1",0.78,344.6,441.794871794872
"sm_spibet_1","spibet","sm","1",0.81,349.9,431.975308641975
"kl_spibet_10","spibet","kl","10",1.11,633.5,570.720720720721
"mp_spibet_10","spibet","mp","10",0.84,352.7,419.880952380952
"sm_spibet_10","spibet","sm","10",0.83,280.8,338.313253012048
"af_spibet_11","spibet","af","11",1.59,918.1,577.421383647799
"kl_spibet_11","spibet","kl","11",1.21,633.8,523.801652892562
"af_spibet_12","spibet","af","12",1.52,853.5,561.513157894737
"kl_spibet_12","spibet","kl","12",0.97,536.2,552.783505154639
"af_spibet_13","spibet","af","13",1.28,661.6,516.875
"af_spibet_14","spibet","af","14",2.29,1171.9,511.74672489083
"af_spibet_2","spibet","af","2",2.04,109.6,53.7254901960784
"mp_spibet_2","spibet","mp","2",0.66,288,436.363636363636
"sm_spibet_2","spibet","sm","2",0.86,384.2,446.744186046512
"af_spibet_20","spibet","af","20",1.06,482.8,455.471698113208
"kl_spibet_3","spibet","kl","3",1.5,742.2,494.8
"mp_spibet_3","spibet","mp","3",0.88,338.9,385.113636363636
"sm_spibet_3","spibet","sm","3",1.46,730.2,500.13698630137
"af_spibet_4","spibet","af","4",0.82,438.8,535.121951219512
"kl_spibet_4","spibet","kl","4",0.72,352.4,489.444444444444
"mp_spibet_4","spibet","mp","4",0.95,445.9,469.368421052632
"sm_spibet_4","spibet","sm","4",1.15,509.5,443.04347826087
"af_spibet_5","spibet","af","5",1.59,828.9,521.320754716981
"kl_spibet_5","spibet","kl","5",2.01,1012.5,503.731343283582
"mp_spibet_5","spibet","mp","5",0.76,252.3,331.973684210526
"sm_spibet_5","spibet","sm","5",1.56,714.1,457.75641025641
"kl_spibet_6","spibet","kl","6",1.11,486,437.837837837838
"mp_spibet_6","spibet","mp","6",0.63,279.9,444.285714285714
"sm_spibet_6","spibet","sm","6",1.26,508.6,403.650793650794
"af_spibet_6_02","spibet","af","6_02",0.91,487.3,535.494505494505
"kl_spibet_7","spibet","kl","7",0.99,450.9,455.454545454545
"mp_spibet_7","spibet","mp","7",0.81,289.2,357.037037037037
"sm_spibet_7","spibet","sm","7",1.06,318.4,300.377358490566
"kl_spibet_8","spibet","kl","8",1.05,559,532.380952380952
"mp_spibet_8","spibet","mp","8",1.21,424.2,350.578512396694
"sm_spibet_8","spibet","sm","8",2.07,1071.3,517.536231884058
"kl_spibet_9","spibet","kl","9",0.72,309.2,429.444444444444
"mp_spibet_9","spibet","mp","9",1.21,463.2,382.809917355372
"sm_spibet_9","spibet","sm","9",1.12,552.3,493.125
"af_spipyr_1","spipyr","af","1",0.99,425.4,429.69696969697
"mp_spipyr_1","spipyr","mp","1",1.98,538.5,271.969696969697
"sm_spipyr_1","spipyr","sm","1",1.36,601.9,442.573529411765
"mp_spipyr_10","spipyr","mp","10",3.09,1537.5,497.572815533981
"sm_spipyr_10","spipyr","sm","10",1.96,676.6,345.204081632653
"af_spipyr_11","spipyr","af","11",2.33,897.7,385.278969957082
"af_spipyr_12","spipyr","af","12",2.45,1018.3,415.632653061224
"af_spipyr_13","spipyr","af","13",NA,NA,NA
"af_spipyr_14","spipyr","af","14",1.92,1077.9,561.40625
"af_spipyr_16","spipyr","af","16",2.35,947.4,403.148936170213
"af_spipyr_17","spipyr","af","17",1.94,895,461.340206185567
"af_spipyr_18","spipyr","af","18",2.05,808.1,394.19512195122
"af_spipyr_19","spipyr","af","19",1.96,1021.2,521.020408163265
"af_spipyr_2","spipyr","af","2",2.91,1414.9,486.219931271478
"mp_spipyr_2","spipyr","mp","2",1.36,606.8,446.176470588235
"sm_spipyr_2","spipyr","sm","2",2.33,978.7,420.042918454936
"mp_spipyr_3","spipyr","mp","3",2.78,1384.4,497.985611510791
"sm_spipyr_3","spipyr","sm","3",2.15,800.6,372.372093023256
"mp_spipyr_4","spipyr","mp","4",1.39,532.8,383.309352517986
"sm_spipyr_4","spipyr","sm","4",1.67,878.9,526.287425149701
"mp_spipyr_5","spipyr","mp","5",1.31,657.9,502.213740458015
"sm_spipyr_5","spipyr","sm","5",1.24,610.1,492.016129032258
"mp_spipyr_6","spipyr","mp","6",2.12,865.3,408.160377358491
"sm_spipyr_6","spipyr","sm","6",1.36,638,469.117647058823
"mp_spipyr_7","spipyr","mp","7",1.3,556.9,428.384615384615
"sm_spipyr_7","spipyr","sm","7",1.13,462.3,409.115044247788
"mp_spipyr_8","spipyr","mp","8",2.2,805.5,366.136363636364
"sm_spipyr_8","spipyr","sm","8",0.97,352.1,362.98969072165
"mp_spipyr_9","spipyr","mp","9",2.61,1404.5,538.122605363985
"sm_spipyr_9","spipyr","sm","9",1.17,522,446.153846153846
"af_symalb_1","symalb","af","1",2.48,1363.5,549.798387096774
"kl_symalb_1","symalb","kl","1",1.28,828.9,647.578125
"mp_symalb_1","symalb","mp","1",3,1550.1,516.7
"kl_symalb_10","symalb","kl","10",1.05,723.5,689.047619047619
"mp_symalb_10","symalb","mp","10",2.41,1269.8,526.887966804979
"af_symalb_11","symalb","af","11",3.48,1949.6,560.229885057471
"kl_symalb_11","symalb","kl","11",1.21,816.7,674.95867768595
"mp_symalb_11","symalb","mp","11",1.87,1040.3,556.310160427807
"sm_symalb_11","symalb","sm","11",2.03,1008.5,496.79802955665
"af_symalb_12","symalb","af","12",1.5,852.6,568.4
"kl_symalb_12","symalb","kl","12",1.59,985.6,619.874213836478
"sm_symalb_12","symalb","sm","12",2.57,1449.5,564.007782101167
"sm_symalb_12_02","symalb","sm","12_02",1.46,720.7,493.630136986301
"af_symalb_2","symalb","af","2",2.89,1455.7,503.702422145329
"kl_symalb_2","symalb","kl","2",1.48,778.3,525.878378378378
"sm_symalb_2","symalb","sm","2",1.81,100.8,55.6906077348066
"kl_symalb_2_02","symalb","kl","2_02",1.82,1130,620.879120879121
"af_symalb_3","symalb","af","3",3.16,1700.5,538.132911392405
"kl_symalb_3","symalb","kl","3",2.61,1520.7,582.64367816092
"mp_symalb_3","symalb","mp","3",2.66,1355.5,509.586466165414
"af_symalb_4","symalb","af","4",3.8,2134.4,561.684210526316
"mp_symalb_4","symalb","mp","4",2.31,1331.7,576.493506493507
"sm_symalb_4","symalb","sm","4",0.83,433.2,521.927710843373
"af_symalb_5","symalb","af","5",2.37,1360.3,573.966244725738
"mp_symalb_5","symalb","mp","5",2.3,1128.8,490.782608695652
"sm_symalb_5","symalb","sm","5",1.54,778.2,505.324675324675
"af_symalb_6","symalb","af","6",1.7,990.5,582.647058823529
"mp_symalb_6","symalb","mp","6",2.21,820.6,371.31221719457
"sm_symalb_6","symalb","sm","6",2.42,1347.2,556.694214876033
"af_symalb_7","symalb","af","7",1.18,739.8,626.949152542373
"kl_symalb_7","symalb","kl","7",2.26,1345.8,595.486725663717
"mp_symalb_7","symalb","mp","7",2.76,1562.3,566.050724637681
"sm_symalb_7","symalb","sm","7",2.65,1485.9,560.716981132075
"af_symalb_8","symalb","af","8",2.48,1292.9,521.33064516129
"kl_symalb_8","symalb","kl","8",2.1,1070.8,509.904761904762
"mp_symalb_8","symalb","mp","8",2.5,1418.8,567.52
"sm_symalb_8","symalb","sm","8",1.68,926.8,551.666666666667
"kl_symalb_9","symalb","kl","9",2.75,1539.7,559.890909090909
"mp_symalb_9","symalb","mp","9",2.37,1414.5,596.835443037975
"sm_symalb_9","symalb","sm","9",0.96,477.5,497.395833333333
"af_vacmem_1","vacmem","af","1",1.99,985.9,495.427135678392
"kl_vacmem_1","vacmem","kl","1",1.44,829.23,575.854166666667
"mp_vacmem_1","vacmem","mp","1",2.97,1485.1,500.03367003367
"sm_vacmem_1","vacmem","sm","1",2.2,1239.3,563.318181818182
"af_vacmem_10","vacmem","af","10",2.05,1090.9,532.146341463415
"kl_vacmem_10","vacmem","kl","10",2.56,1467.1,573.0859375
"sm_vacmem_10","vacmem","sm","10",2.65,1494.9,564.11320754717
"kl_vacmem_11","vacmem","kl","11",2.22,1297.9,584.63963963964
"mp_vacmem_11","vacmem","mp","11",2.61,1188.2,455.249042145594
"mp_vacmem_12","vacmem","mp","12",3.71,2093.7,564.339622641509
"kl_vacmem_2","vacmem","kl","2",1.82,996.5,547.527472527472
"sm_vacmem_2","vacmem","sm","2",2.3,1195,519.565217391304
"af_vacmem_20","vacmem","af","20",2.54,1225.3,482.40157480315
"af_vacmem_3","vacmem","af","3",2.25,1106.7,491.866666666667
"kl_vacmem_3","vacmem","kl","3",2.67,1427.8,534.756554307116
"mp_vacmem_3","vacmem","mp","3",2.2,1133.6,515.272727272727
"sm_vacmem_3","vacmem","sm","3",2.35,1234.4,525.276595744681
"af_vacmem_4","vacmem","af","4",1.45,724,499.310344827586
"kl_vacmem_4","vacmem","kl","4",2.77,1609.4,581.01083032491
"mp_vacmem_4","vacmem","mp","4",2.44,1218.3,499.303278688525
"sm_vacmem_4","vacmem","sm","4",1.8,869.8,483.222222222222
"af_vacmem_5","vacmem","af","5",2.71,1456,537.269372693727
"kl_vacmem_5","vacmem","kl","5",1.76,977.6,555.454545454545
"mp_vacmem_5","vacmem","mp","5",3.35,1913.8,571.283582089552
"sm_vacmem_5","vacmem","sm","5",1.8,956.8,531.555555555556
"mp_vacmem_5_02","vacmem","mp","5_02",3.62,1731.6,478.342541436464
"af_vacmem_6","vacmem","af","6",1.28,676.4,528.4375
"kl_vacmem_6","vacmem","kl","6",1.82,1068.4,587.032967032967
"mp_vacmem_6","vacmem","mp","6",NA,852.2,NA
"sm_vacmem_6","vacmem","sm","6",1.2,672.4,560.333333333333
"af_vacmem_7","vacmem","af","7",2.61,1314.2,503.524904214559
"kl_vacmem_7","vacmem","kl","7",1.65,954.9,578.727272727273
"mp_vacmem_7","vacmem","mp","7",2.73,1385.9,507.655677655678
"sm_vacmem_7","vacmem","sm","7",1.91,1002,524.607329842932
"af_vacmem_8","vacmem","af","8",1.59,826.2,519.622641509434
"kl_vacmem_8","vacmem","kl","8",2.03,1196.5,589.408866995074
"mp_vacmem_8","vacmem","mp","8",3.46,1853.5,535.693641618497
"mp_vacmem_8","vacmem","mp","8",3.46,1853.5,535.693641618497
"sm_vacmem_8","vacmem","sm","8",3.02,879.3,291.158940397351
"af_vacmem_9","vacmem","af","9",1.84,1024.6,556.847826086957
"mp_vacmem_9","vacmem","mp","9",1.38,654.5,474.275362318841
"sm_vacmem_9","vacmem","sm","9",2.7,1358.9,503.296296296296
"af_vibedu_1","vibedu","af","1",3.99,1777.9,445.588972431078
"kl_vibedu_1","vibedu","kl","1",2.82,1405.2,498.297872340426
"sm_vibedu_1","vibedu","sm","1",4.81,1992.4,414.220374220374
"kl_vibedu_10","vibedu","kl","10",2.09,940.5,450
"mp_vibedu_10","vibedu","mp","10",3,1260.5,420.166666666667
"sm_vibedu_10","vibedu","sm","10",5.14,2321.1,451.575875486381
"af_vibedu_11","vibedu","af","11",2.84,1288,453.521126760563
"sm_vibedu_11","vibedu","sm","11",2.83,925.2,326.925795053004
"af_vibedu_12","vibedu","af","12",2.4,1003.3,418.041666666667
"mp_vibedu_12","vibedu","mp","12",1.8,598.2,332.333333333333
"sm_vibedu_12","vibedu","sm","12",6.43,2937.8,456.889580093313
"mp_vibedu_13","vibedu","mp","13",3.07,10872,3541.3680781759
"mp_vibedu_14","vibedu","mp","14",2.19,999.1,456.2100456621
"sm_vibedu_19","vibedu","sm","19",2.55,1197,469.411764705882
"af_vibedu_2","vibedu","af","2",3.15,1590.3,504.857142857143
"kl_vibedu_2","vibedu","kl","2",1.58,710.3,449.556962025316
"mp_vibedu_2","vibedu","mp","2",2.52,1004.6,398.650793650794
"sm_vibedu_20","vibedu","sm","20",3.05,1235.7,405.147540983607
"af_vibedu_3","vibedu","af","3",2.83,1039.4,367.279151943463
"kl_vibedu_3","vibedu","kl","3",2.67,931.1,348.7265917603
"af_vibedu_4","vibedu","af","4",1.91,883,462.303664921466
"kl_vibedu_4","vibedu","kl","4",2.18,896.9,411.422018348624
"mp_vibedu_4","vibedu","mp","4",3.02,1302.9,431.423841059603
"af_vibedu_5","vibedu","af","5",3.61,1773.8,491.357340720222
"kl_vibedu_5","vibedu","kl","5",2.11,822.5,389.810426540284
"mp_vibedu_5","vibedu","mp","5",2.99,1353,452.508361204013
"sm_vibedu_5","vibedu","sm","5",2.43,1064.3,437.98353909465
"af_vibedu_6","vibedu","af","6",2.57,1206.6,469.494163424125
"kl_vibedu_6","vibedu","kl","6",1.83,987,539.344262295082
"af_vibedu_7","vibedu","af","7",1.8,726,403.333333333333
"kl_vibedu_7","vibedu","kl","7",2.7,1331.4,493.111111111111
"mp_vibedu_7","vibedu","mp","7",3.79,1539.2,406.121372031662
"sm_vibedu_7","vibedu","sm","7",5.18,2420.6,467.297297297297
"af_vibedu_8","vibedu","af","8",2.73,1109.9,406.556776556777
"kl_vibedu_8","vibedu","kl","8",0.76,1051.9,1384.07894736842
"mp_vibedu_8","vibedu","mp","8",3.56,1515.8,425.786516853933
"sm_vibedu_8","vibedu","sm","8",2.61,1097.7,420.574712643678
"kl_vibedu_9","vibedu","kl","9",2.09,1019.1,487.607655502392
"mp_vibedu_9","vibedu","mp","9",4.34,1823.3,420.115207373272
"sm_vibedu_9","vibedu","sm","9",6.78,3241.2,478.053097345133
