date,site,species,no,dist.top,dist.btm,ht,dbh,dbh2,dbh3
03-Jul,afrf,acegla,1,NA,NA,289.4,1.881,NA,NA
11-Jun,afrf,acegla,3,7,5,637.8979486,9.3,2,NA
13-Jun,afrf,acegla,5,8,6,677.1502622,3,3.4,3.2
13-Jun,afrf,acegla,6,9,6,818.8203932,4.2,8.2,3.2
13-Jun,afrf,acegla,7,9,7,713.6854249,5.1,6.9,9
13-Jun,afrf,acegla,8,8,6,677.1502622,6.5,7.5,5.9
13-Jun,afrf,acegla,9,7,4,722.4562647,4.5,6.5,7
13-Jun,afrf,acegla,10,NA,NA,489.6,2.7,4.2,4.3
02-Jul,afrf,acegla,11,NA,NA,466.6,2.411,NA,NA
02-Jul,afrf,acegla,12,NA,NA,335.9,1.632,NA,NA
29-Jul,kl,acegla,1,6,5,479.662479,40.8,5.136,4.69
26-Jul,kl,acegla,3,NA,NA,470.3,2.546,2.037,NA
24-Jul,kl,acegla,4,7,6,508.5551275,13.1,NA,NA
24-Jul,kl,acegla,5,11,6,1069.954446,9.6,6.9,NA
24-Jul,kl,acegla,6,7,6,508.5551275,6.1,NA,NA
24-Jul,kl,acegla,7,12,6,1187.230485,6.5,8.4,8.1
25-Jul,kl,acegla,8,11,9,780.455532,6.143,8.48,7.224
28-Jul,kl,acegla,9,7,6,508.5551275,4.034,NA,NA
28-Jul,kl,acegla,10,NA,NA,NA,10.6,NA,NA
30-Jul,kl,acegla,11,10,7,862.1428429,5.3,3.4,2.2
25-Jun,mp,acegla,1,NA,NA,554.4,2.778,5.005,1.585
25-Jun,mp,acegla,2,NA,NA,267.6,1.126,NA,NA
26-Jun,mp,acegla,3,NA,NA,638.8,3.3,3.4,2.1
26-Jun,mp,acegla,4,NA,NA,336.1,1.959,1.595,1.44
26-Jun,mp,acegla,5,6,5,479.662479,6.2,3.5,3
23-Jun,mp,acegla,7,7,5,637.8979486,4.482,7.672,7.287
23-Jun,mp,acegla,8,7,5,637.8979486,3.5,NA,NA
23-Jun,mp,acegla,9,6,5,479.662479,3.3,NA,NA
23-Jun,mp,acegla,10,7,5,637.8979486,4.7,3.7,NA
26-Jun,mp,acegla,10,7,6,508.5551275,8.2,8.5,11.5
25-Jun,mp,acegla,11,NA,NA,354.3,2.016,NA,NA
30-May,sm,acegla,2,10,7,862.1428429,0.524,NA,NA
04-Jun,sm,acegla,3,7,6,508.5551275,16.1,9.7,12.6
01-Jun,sm,acegla,7,10,5,1014.025404,7.1,NA,NA
01-Jun,sm,acegla,8,14,7,1360.435565,1.26,NA,NA
29-May,sm,acegla,9,13,11,840.820323,5,NA,NA
29-May,sm,acegla,10,12,11,627.5831523,24,29.9,14.9
30-May,sm,acegla,11,7,6,508.5551275,2.2,NA,NA
01-Jun,sm,acegla,13,11,8,902.9834435,13.6,10.6,4.5
01-Jun,sm,acegla,14,9,7,713.6854249,0.65,NA,NA
01-Jun,sm,acegla,15,16,12,1206.300524,9.9,NA,NA
11-Jun,afrf,alninc,1,NA,NA,284.5,2.1,NA,NA
02-Jul,afrf,alninc,1,NA,NA,233.4,0.816,1.525,NA
02-Jul,afrf,alninc,5,5,3,548,2.655,4.354,NA
03-Jul,afrf,alninc,6,8,6,677.1502622,7.8,8.9,7.2
03-Jul,afrf,alninc,7,8,7,535.2983346,4.2,5.5,4.3
11-Jun,afrf,alninc,9,6,5,479.662479,4.7,NA,NA
11-Jun,afrf,alninc,10,10,9,583.8898944,3.4,3.5,4.2
04-Jul,afrf,alninc,12,6,3,667.6152423,4.644,3.848,3.295
04-Jul,afrf,alninc,13,7,5,637.8979486,3.385,5.925,3.35
04-Jul,afrf,alninc,14,NA,NA,319.2,1.947,1.721,NA
12-Jun,afrf,alninc,20,NA,NA,465.3,4.1,3.3,2.8
25-Jul,kl,alninc,1,NA,NA,451.8,3.557,2.765,2.058
25-Jul,kl,alninc,2,6,5,479.662479,3.575,4.041,3.482
25-Jul,kl,alninc,3,9,7,713.6854249,8.644,2.392,NA
25-Jul,kl,alninc,4,7,6,508.5551275,2.948,3.424,1.496
23-Jun,mp,alninc,1,4,2,494.4101615,3,4,3.5
26-Jun,mp,alninc,2,NA,NA,314.5,2.6,3,NA
23-Jun,mp,alninc,3,6,3,667.6152423,5,5.4,6.1
26-Jun,mp,alninc,4,6,5,479.662479,8.1,6.4,NA
22-Jun,mp,alninc,5,NA,NA,447.4,4,NA,NA
23-Jun,mp,alninc,6,5,4,448,5.9,4.8,2.4
23-Jun,mp,alninc,7,7,5,637.8979486,5.3,5.8,4
23-Jun,mp,alninc,8,6,NA,NA,7.4,5.1,3.4
22-Jun,mp,alninc,9,NA,NA,464.8,2.7,NA,NA
22-Jun,mp,alninc,10,9,7,713.6854249,6.8,5.9,8.5
01-Jun,sm,alninc,1,9,8,560.3105626,6.1,NA,NA
03-Jun,sm,alninc,1_June3,8,6,677.1502622,7.5,NA,NA
01-Jun,sm,alninc,2,9,7,713.6854249,8.5,NA,NA
01-Jun,sm,alninc,3,7,6,508.5551275,6.4,NA,NA
01-Jun,sm,alninc,4,10,7,862.1428429,6.2,NA,NA
01-Jun,sm,alninc,5,12,8,1042.427191,7.3,8.3,3.4
30-May,sm,alninc,8,9,6,818.8203932,26.9,15.7,11.9
05-Jun,sm,alninc,19,7,3,780.455532,7.5,6.5,5.3
05-Jun,sm,alninc,20,11,7,996.5281374,10.9,7.3,6.5
28-Jul,kl,alnrub,1,9,7,713.6854249,6.5,NA,NA
28-Jul,kl,alnrub,2,7,5,637.8979486,6.5,NA,NA
28-Jul,kl,alnrub,3,12,10,811.3249581,11.1,NA,NA
28-Jul,kl,alnrub,4,16,12,1206.300524,17.7,NA,NA
28-Jul,kl,alnrub,5,11,10,606.2575695,10.4,NA,NA
28-Jul,kl,alnrub,6,9,3,996.5281374,6.7,NA,NA
28-Jul,kl,alnrub,7,9,8,560.3105626,9.9,NA,NA
28-Jul,kl,alnrub,8,10,8,748,7.5,6,NA
28-Jul,kl,alnrub,9,8,3.5,867.3747285,10.1,NA,NA
28-Jul,kl,alnrub,10,9,4,954.2257748,9.8,NA,NA
22-Jun,mp,alnrub,5,12,9,941.7253933,25.7,NA,NA
22-Jun,mp,alnrub,6,5,4,448,5.3,NA,NA
22-Jun,mp,alnrub,7,8,5,772.4997998,8,NA,NA
02-Jul,afrf,alnvir,1,NA,NA,233.4,0.816,1.525,NA
02-Jul,afrf,alnvir,2,NA,NA,311,1.509,1.382,1.231
02-Jul,afrf,alnvir,3,NA,NA,338.5,1.692,2.055,1.509
02-Jul,afrf,alnvir,4,NA,NA,333.4,1.317,1.24,1.42
02-Jul,afrf,alnvir,5,NA,NA,217.6,1.294,0.915,0.888
02-Jul,afrf,alnvir,11,NA,NA,348.6,1.924,1.328,0.865
02-Jul,afrf,alnvir,12,NA,NA,339.6,1.409,1.232,1.17
04-Jul,afrf,alnvir,13,NA,NA,276.5,1.928,1.953,3.163
04-Jul,afrf,alnvir,14,NA,NA,396.4,2.588,1.821,1.764
12-Jun,afrf,alnvir,20,NA,NA,439.2,4,5.2,4.5
26-Jul,kl,alnvir,2,NA,NA,350.4,2.833,3.633,3.268
26-Jul,kl,alnvir,3,NA,NA,360.1,1.582,1.764,1.861
24-Jul,kl,alnvir,5,NA,NA,170.6,1.756,2,1.953
24-Jul,kl,alnvir,6,NA,NA,174.9,2.288,1.396,1.929
25-Jul,kl,alnvir,7,NA,NA,314.8,1.758,2.252,1.074
26-Jul,kl,alnvir,8,NA,NA,307.4,1.828,1.296,1.464
28-Jul,kl,alnvir,9,5,4,448,3.809,2.552,2.27
28-Jul,kl,alnvir,10,NA,NA,481.1,4.339,4.582,3.381
28-Jul,kl,alnvir,11,NA,NA,452.6,3.174,2.26,2.133
28-Jul,kl,alnvir,12,NA,NA,870.4,2.825,2.24,2.688
25-Jun,mp,alnvir,1,NA,NA,338.6,1.7,1.7,2
25-Jun,mp,alnvir,2,NA,NA,491.1,3.7,3.1,3.3
25-Jun,mp,alnvir,3,NA,NA,252.4,2.4,2.5,2
26-Jun,mp,alnvir,4,NA,NA,474,9.1,NA,NA
26-Jun,mp,alnvir,5,NA,NA,377.6,3,2.1,1.7
22-Jun,mp,alnvir,6,8,7,535.2983346,6.5,NA,NA
22-Jun,mp,alnvir,7,NA,NA,513.8,6,5.2,5.1
22-Jun,mp,alnvir,8,NA,NA,285.1,1.321,NA,NA
25-Jun,mp,alnvir,9,NA,NA,336.4,2.743,7.978,NA
26-Jun,mp,alnvir,10,NA,NA,663.8,7.2,10.6,9.6
30-May,sm,alnvir,1,11,8,902.9834435,26.4,22.2,24.1
03-Jun,sm,alnvir,1_June3,6,5,479.662479,6.4,3.7,2.4
03-Jun,sm,alnvir,2,NA,NA,413,2.1,2.4,2
03-Jun,sm,alnvir,2_2,7,6,508.5551275,4.5,3.1,3.1
04-Jun,sm,alnvir,6,NA,NA,296.3,1.221,1.234,1.123
30-May,sm,alnvir,7,10,7,862.1428429,26.7,16.8,8.3
29-May,sm,alnvir,8,7,6,508.5551275,3.5,4.1,3.5
03-Jun,sm,alnvir,9,5,4.18,422.3647208,5.8,5.3,6.9
03-Jun,sm,alnvir,10,NA,NA,522,5,5.7,6.2
05-Jun,sm,alnvir,16,NA,NA,407.9,3.8,3.2,3
05-Jun,sm,alnvir,17,5,2,606.2575695,3.7,3.4,3
05-Jun,sm,alnvir,18,NA,NA,445.2,3.1,3.5,3.6
04-Jun,sm,alnvir,19,NA,NA,331.7,3.445,3.62,2.934
04-Jun,sm,alnvir,20,7,7,148,6.5,5.9,5.4
11-Jun,afrf,amealn,1,NA,NA,180.7,1.588,1.312,1.13
11-Jun,afrf,amealn,2,NA,NA,157.7,1.183,NA,NA
11-Jun,afrf,amealn,3,NA,NA,234.2,1.986,NA,NA
11-Jun,afrf,amealn,5,NA,NA,210.4,2.357,NA,NA
02-Jul,afrf,amealn,6,NA,NA,274.7,1.536,NA,NA
02-Jul,afrf,amealn,7,NA,NA,243.4,1.432,1.036,NA
02-Jul,afrf,amealn,8,NA,NA,204.6,1.238,1.387,1.034
02-Jul,afrf,amealn,9,NA,NA,182.1,1.293,NA,NA
02-Jul,afrf,amealn,10,NA,NA,198,1.095,NA,NA
02-Jul,afrf,amealn,12,NA,NA,364.2,1.002,NA,NA
29-Jul,kl,amealn,1,NA,NA,357.3,3.137,1.981,0.922
29-Jul,kl,amealn,2,NA,NA,521,3.368,NA,NA
29-Jul,kl,amealn,3,NA,NA,529.6,3.835,NA,NA
24-Jul,kl,amealn,4,NA,NA,381.2,1.66,1.511,1.539
26-Jul,kl,amealn,5,NA,NA,233.9,1.48,NA,NA
26-Jul,kl,amealn,6,NA,NA,350.2,2.612,NA,NA
26-Jul,kl,amealn,7,NA,NA,286.3,1.931,NA,NA
26-Jul,kl,amealn,8,7,5,637.8979486,3.464,2.252,1.985
28-Jul,kl,amealn,9,NA,NA,217.5,2.062,NA,NA
28-Jul,kl,amealn,10,NA,NA,213.4,2.259,NA,NA
23-Jun,mp,amealn,1,NA,NA,142.6,1.308,1.324,1.721
25-Jun,mp,amealn,2,NA,NA,45.8,1.374,1.529,1.738
23-Jun,mp,amealn,3,NA,NA,282.6,1.917,2.21,NA
23-Jun,mp,amealn,4,NA,NA,192.1,1.416,1.342,0.965
25-Jun,mp,amealn,5,NA,NA,198.2,1.776,NA,NA
25-Jun,mp,amealn,6,NA,NA,280.3,2.205,3.361,2.652
25-Jun,mp,amealn,7,NA,NA,228.9,2.524,3.555,2.519
23-Jun,mp,amealn,8,NA,NA,246.4,1.915,1.953,1.72
23-Jun,mp,amealn,9,NA,NA,224.8,3.767,2.676,3.091
23-Jun,mp,amealn,10,NA,NA,297.4,3.107,NA,NA
25-Jun,mp,amealn,11,NA,NA,441.4,2.4,2.6,2.7
22-Jun,mp,amealn,12,NA,NA,406.8,3.4,NA,NA
31-May,sm,amealn,1,9,7,713.6854249,6.7,6.3,8.6
29-May,sm,amealn,2,NA,NA,293,2.04,NA,NA
31-May,sm,amealn,3,6,5,479.662479,3,3,3
31-May,sm,amealn,4,4,3,412.5751311,3.1,NA,NA
31-May,sm,amealn,5,9,8,560.3105626,3.4,NA,NA
31-May,sm,amealn,6,12,10,811.3249581,5.1,4.3,4.1
31-May,sm,amealn,7,4,3,412.5751311,3.3,NA,NA
29-May,sm,amealn,9,NA,NA,353.5,2.39,NA,NA
29-May,sm,amealn,10,NA,NA,215.1,1.66,NA,NA
29-May,sm,amelan,8,NA,NA,320.2,2.48,NA,NA
11-Jun,afrf,betpap,1,19,14,1432.523258,36.9,NA,NA
12-Jun,afrf,betpap,3,13,8,1172.695077,10.5,NA,NA
12-Jun,afrf,betpap,4,12,8,1042.427191,18,NA,NA
12-Jun,afrf,betpap,5,14,7,1360.435565,18.5,NA,NA
11-Jun,afrf,betpap,7,12,10,811.3249581,10,NA,NA
11-Jun,afrf,betpap,8,13,8,1172.695077,12.6,NA,NA
11-Jun,afrf,betpap,9,14,11,1014.025404,12.9,NA,NA
11-Jun,afrf,betpap,10,10,8,748,9.9,NA,NA
11-Jun,afrf,betpap,11,20,14,1576.285686,33.1,NA,NA
12-Jun,afrf,betpap,2_02,12,9,941.7253933,9.9,NA,NA
29-Jul,kl,betpap,5,19,16,1172.695077,12.7,7.9,NA
24-Jul,kl,betpap,6,15,12,1048,9.8,NA,NA
24-Jul,kl,betpap,7,15,9,1348,11.9,NA,NA
24-Jul,kl,betpap,8,14,10,1127.795897,15.5,NA,NA
26-Jul,kl,betpap,9,17,12,1352.159458,17.1,14.9,9.9
28-Jul,kl,betpap,9_02,23,16,1800.271164,29.7,8.4,NA
28-Jul,kl,betpap,10,16,12,1206.300524,13.3,NA,NA
28-Jul,kl,betpap,11,11,5,1127.795897,8.2,NA,NA
28-Jul,kl,betpap,12,11,9,780.455532,10.4,NA,NA
29-Jul,kl,betpap,13,25,18,1882.935157,30.3,NA,NA
29-Jul,kl,betpap,14,19,14,1432.523258,23.3,18.6,NA
31-May,sm,betpap,1,12,7,1122.679434,19,NA,NA
30-May,sm,betpap,2,15,10,1266.033989,8.6,NA,NA
30-May,sm,betpap,4,15,11,1167.803903,16.9,NA,NA
01-Jun,sm,betpap,5,13,8,1172.695077,12.7,NA,NA
01-Jun,sm,betpap,6,17,14,1112.365076,12.9,NA,NA
30-May,sm,betpap,7,17,15,948,27.3,NA,NA
29-May,sm,betpap,8,17,13,1243.445115,30.1,NA,NA
29-May,sm,betpap,9,17,13,1243.445115,21.3,NA,NA
29-May,sm,betpap,10,18,14,1279.37085,21.9,NA,NA
29-May,sm,betpap,13,9,7,713.6854249,13.1,NA,NA
01-Jun,sm,betpap,7_2,15,8,1416.857754,1.92,NA,NA
12-Jun,afrf,betpap ,6,13,8,1172.695077,10.6,NA,NA
11-Jun,afrf,corsto,1,NA,NA,131.8,14.1,NA,NA
13-Jun,afrf,corsto,3,NA,NA,363.2,1.534,0.67,NA
11-Jun,afrf,corsto,4,NA,NA,223.1,1.451,NA,NA
11-Jun,afrf,corsto,5,NA,NA,319.8,2.971,NA,NA
02-Jul,afrf,corsto,6,NA,NA,160,1.701,NA,NA
02-Jul,afrf,corsto,7,NA,NA,181,1.809,NA,NA
02-Jul,afrf,corsto,8,NA,NA,161.6,0.954,NA,NA
02-Jul,afrf,corsto,9,NA,NA,273.8,1.124,NA,NA
02-Jul,afrf,corsto,10,NA,NA,232.4,1.732,1.538,NA
03-Jul,afrf,corsto,11,NA,NA,272.4,2.348,NA,NA
26-Jul,kl,corsto,3,NA,NA,351.9,3.183,2.246,2.11
24-Jul,kl,corsto,5,NA,NA,461.8,2.674,NA,NA
24-Jul,kl,corsto,6,NA,NA,480.8,3.2,NA,NA
24-Jul,kl,corsto,7,NA,NA,470.8,4.85,4.612,3.148
25-Jul,kl,corsto,8,NA,NA,215,1.914,NA,NA
25-Jul,kl,corsto,9,NA,NA,276.4,2.39,NA,NA
25-Jul,kl,corsto,10,NA,NA,312.7,3.181,3.748,NA
28-Jul,kl,corsto,11,NA,NA,290.3,3.79,3.949,1.933
28-Jul,kl,corsto,12,NA,NA,334.2,2.696,NA,NA
30-Jul,kl,corsto,13,NA,NA,338.2,2.869,2.002,1.432
23-Jun,mp,corsto,1,NA,NA,186.4,0.833,NA,NA
26-Jun,mp,corsto,2,NA,NA,384.6,1.442,0.91,1.092
26-Jun,mp,corsto,3,NA,NA,297.1,3.665,NA,NA
23-Jun,mp,corsto,5,NA,NA,371.3,2.717,NA,NA
22-Jun,mp,corsto,6,NA,NA,273.6,1.77,NA,NA
22-Jun,mp,corsto,7,NA,NA,231.1,1.129,NA,NA
22-Jun,mp,corsto,8,NA,NA,111.7,1.987,NA,NA
22-Jun,mp,corsto,9,NA,NA,202.3,2.021,NA,NA
22-Jun,mp,corsto,10,NA,NA,347.8,1.574,1.605,1.762
25-Jun,mp,corsto,20,NA,NA,424.8,3.336,1.879,NA
30-May,sm,corsto,2,NA,NA,107.4,0.879,NA,NA
30-May,sm,corsto,3,NA,NA,150,1.214,NA,NA
30-May,sm,corsto,4,NA,NA,181.7,1.261,NA,NA
30-May,sm,corsto,5,NA,NA,143,0.873,NA,NA
01-Jun,sm,corsto,6,NA,NA,191,1.704,NA,NA
01-Jun,sm,corsto,7,NA,NA,265.5,1.415,NA,NA
01-Jun,sm,corsto,8,NA,NA,192.5,1.316,NA,NA
01-Jun,sm,corsto,10,NA,NA,226.6,2,NA,NA
29-May,sm,corsto,11,NA,NA,300.2,2.26,NA,NA
01-Jun,sm,corsto,12,NA,NA,266,2.005,NA,NA
01-Jun,sm,corsto,13,NA,NA,199.5,1.383,NA,NA
01-Jun,sm,corsto,14,NA,NA,250.5,1.707,NA,NA
12-Jun,afrf,loninv,1,NA,NA,123.4,1.275,NA,NA
11-Jun,afrf,loninv,2,NA,NA,117.3,1.164,NA,NA
11-Jun,afrf,loninv,3,NA,NA,139.6,1.201,NA,NA
02-Jul,afrf,loninv,4,NA,NA,122.1,0.721,NA,NA
02-Jul,afrf,loninv,5,NA,NA,120.8,1.198,NA,NA
03-Jul,afrf,loninv,6,NA,NA,140.6,1.111,NA,NA
13-Jun,afrf,loninv,8,NA,NA,106.2,1.007,NA,NA
04-Jul,afrf,loninv,9,NA,NA,179,1.555,NA,NA
03-Jul,afrf,loninv,11,NA,NA,159.2,2.74,1.599,3.474
12-Jun,afrf,loninv,3_02,NA,NA,246.3,2.071,NA,NA
29-Jul,kl,loninv,1,NA,NA,168.2,0.992,NA,NA
29-Jul,kl,loninv,2,NA,NA,161,1.102,NA,NA
26-Jul,kl,loninv,3,NA,NA,205.3,1.256,0.968,NA
26-Jul,kl,loninv,4,NA,NA,139,1.225,NA,NA
24-Jul,kl,loninv,5,NA,NA,102.2,0.761,NA,NA
25-Jul,kl,loninv,6,NA,NA,130.4,1.494,NA,NA
25-Jul,kl,loninv,7,NA,NA,140,1.879,NA,NA
25-Jul,kl,loninv,8,NA,NA,165.7,2.07,1.954,2.223
26-Jul,kl,loninv,9,NA,NA,167.8,1.234,1.177,0.975
26-Jul,kl,loninv,10,NA,NA,200.5,1.889,2.225,1.602
23-Jun,mp,loninv,3,NA,NA,147.6,1.643,NA,NA
25-Jun,mp,loninv,4,NA,NA,164.6,1.421,1.308,NA
25-Jun,mp,loninv,5,NA,NA,119.3,1.285,NA,NA
25-Jun,mp,loninv,6,NA,NA,99.7,1.17,1.262,1.044
25-Jun,mp,loninv,7,NA,NA,228.1,0.961,NA,NA
25-Jun,mp,loninv,8,NA,NA,105.2,0.918,0.83,1.072
23-Jun,mp,loninv,9,NA,NA,160,2.275,NA,NA
23-Jun,mp,loninv,10,NA,NA,111.1,0.655,NA,NA
26-Jun,mp,loninv,11,NA,NA,241.6,1.834,NA,NA
26-Jun,mp,loninv,12,NA,NA,288.1,1.431,NA,NA
26-Jun,mp,loninv,13,NA,NA,170.7,1.214,NA,NA
31-May,sm,loninv,1,NA,NA,176.7,1.464,NA,NA
31-May,sm,loninv,2,NA,NA,142.5,0.902,NA,NA
01-Jun,sm,loninv,3,NA,NA,119.7,0.978,NA,NA
03-Jun,sm,loninv,4,NA,NA,131.6,1.612,NA,NA
04-Jun,sm,loninv,5,NA,NA,221.4,2.573,NA,NA
29-May,sm,loninv,6,NA,NA,215.1,2.01,NA,NA
30-May,sm,loninv,7,NA,NA,190.2,1.245,NA,NA
30-May,sm,loninv,8,NA,NA,134.2,0.902,NA,NA
30-May,sm,loninv,9,NA,NA,183.4,1.398,NA,NA
04-Jun,sm,loninv,11,NA,NA,152.1,2.317,NA,NA
22-Jun,mp,menfer,1,NA,NA,159.3,1.383,NA,NA
26-Jun,mp,menfer,2,NA,NA,166.9,1.77,1.768,1.593
23-Jun,mp,menfer,4,NA,NA,109.7,2.753,1.886,1.882
26-Jun,mp,menfer,5,NA,NA,89.3,0.888,NA,NA
26-Jun,mp,menfer,6,NA,NA,119.2,1.367,1.451,1.357
26-Jun,mp,menfer,7,NA,NA,204.9,2.154,1.363,1.866
22-Jun,mp,menfer,8,NA,NA,224.8,1.73,NA,NA
22-Jun,mp,menfer,9,NA,NA,154.7,1.393,NA,NA
22-Jun,mp,menfer,10,NA,NA,182.3,1.399,NA,NA
23-Jun,mp,menfer,10_02,NA,NA,196.3,1.674,NA,NA
25-Jun,mp,menfer,12,NA,NA,280.2,2.475,1.811,1.853
,sm,menfer,2,NA,NA,NA,NA,NA,NA
03-Jun,sm,menfer,4,NA,NA,160.3,1.935,1.685,1.637
03-Jun,sm,menfer,6,NA,NA,189.5,1.233,0.997,0.934
03-Jun,sm,menfer,7,NA,NA,200.6,1.78,1.255,1.323
03-Jun,sm,menfer,8,NA,NA,277.6,2.532,1.865,2.672
