date,site,species,no,vol
22-Jun,mp,spipyr,7,1.3
22-Jun,mp,spipyr,8,2.2
22-Jun,mp,symalb,9,2.37
22-Jun,mp,symalb,10,2.41
22-Jun,mp,vacmem,11,2.61
22-Jun,mp,vibedu,7,3.79
22-Jun,mp,vibedu,9,4.34
22-Jun,mp,vibedu,10,3
23-Jun,mp,acegla,7,
23-Jun,mp,acegla,7,3.12
23-Jun,mp,acegla,8,
23-Jun,mp,acegla,8,2.39
23-Jun,mp,acegla,9,
23-Jun,mp,acegla,9,2.98
23-Jun,mp,acegla,10,
23-Jun,mp,acegla,10,3.13
23-Jun,mp,alninc,1,
23-Jun,mp,alninc,1,2.75
23-Jun,mp,alninc,3,
23-Jun,mp,alninc,3,3.58
23-Jun,mp,alninc,6,3.28
23-Jun,mp,alninc,7,
23-Jun,mp,alninc,7,3.37
23-Jun,mp,alninc,8,3.56
23-Jun,mp,amealn,1,
23-Jun,mp,amealn,1,2.98
23-Jun,mp,amealn,3,
23-Jun,mp,amealn,3,2.72
23-Jun,mp,amealn,4,
23-Jun,mp,amealn,4,2.63
23-Jun,mp,amealn,8,2.91
23-Jun,mp,amealn,9,2.61
23-Jun,mp,amealn,10,
23-Jun,mp,amealn,10,2.85
23-Jun,mp,corsto,1,2.28
23-Jun,mp,corsto,5,2.93
23-Jun,mp,loninv,3,2.53
23-Jun,mp,loninv,9,2.3
23-Jun,mp,loninv,10,2.01
23-Jun,mp,menfer,4,2.5
23-Jun,mp,menfer,10,2.92
23-Jun,mp,popbal,6,
23-Jun,mp,popbal,6,3.31
23-Jun,mp,popbal,7,
23-Jun,mp,popbal,7,
23-Jun,mp,poptre,5,
23-Jun,mp,poptre,5,4.05
23-Jun,mp,poptre,6,
23-Jun,mp,poptre,6,
23-Jun,mp,poptre,7,
23-Jun,mp,poptre,7,
23-Jun,mp,poptre,11,
23-Jun,mp,poptre,11,3.85
23-Jun,mp,rhoalb,2,3.12
23-Jun,mp,rhoalb,3,2.54
23-Jun,mp,rhoalb,4,3.93
23-Jun,mp,rhoalb,5,
23-Jun,mp,rhoalb,5,2.34
23-Jun,mp,riblac,7,
23-Jun,mp,riblac,7,1.85
23-Jun,mp,riblac,10,3.9
23-Jun,mp,rosaci,7,
23-Jun,mp,rosaci,7,2.49
23-Jun,mp,rosaci,8,
23-Jun,mp,rosaci,8,3.61
23-Jun,mp,rosaci,9,
23-Jun,mp,rosaci,9,4.06
23-Jun,mp,rubpar,1,
23-Jun,mp,rubpar,1,2.03
23-Jun,mp,rubpar,3,2.08
23-Jun,mp,rubpar,4,1.83
23-Jun,mp,rubpar,5,2.45
23-Jun,mp,samrac,7,3.5
23-Jun,mp,samrac,8,
23-Jun,mp,shecan,2,
23-Jun,mp,shecan,2,
23-Jun,mp,shecan,5,
23-Jun,mp,shecan,5,3.44
23-Jun,mp,shecan,6,
23-Jun,mp,shecan,6,2.61
23-Jun,mp,shecan,7,
23-Jun,mp,shecan,7,3.44
23-Jun,mp,sorsco,1,
23-Jun,mp,sorsco,1,2.86
23-Jun,mp,spibet,2,
23-Jun,mp,spibet,2,0.66
23-Jun,mp,spibet,4,
23-Jun,mp,spibet,4,0.95
23-Jun,mp,spibet,5,
23-Jun,mp,spibet,5,0.76
23-Jun,mp,spibet,6,0.63
23-Jun,mp,spibet,7,
23-Jun,mp,spibet,7,0.81
23-Jun,mp,spibet,10,0.84
23-Jun,mp,symalb,1,3
23-Jun,mp,symalb,6,2.21
23-Jun,mp,vacmem,3,
23-Jun,mp,vacmem,3,2.2
23-Jun,mp,vacmem,4,
23-Jun,mp,vacmem,4,2.44
23-Jun,mp,vacmem,5,
23-Jun,mp,vacmem,5,3.35
23-Jun,mp,vacmem,9,1.38
23-Jun,mp,vacmem,12,
23-Jun,mp,vacmem,12,3.71
23-Jun,mp,vibedu,2,2.52
23-Jun,mp,vibedu,4,
23-Jun,mp,vibedu,4,3.02
23-Jun,mp,vibedu,12,1.8
25-Jun,mp,acegla,1,2.86
25-Jun,mp,acegla,2,2.98
25-Jun,mp,acegla,11,2.71
25-Jun,mp,alnvir,1,3.71
25-Jun,mp,alnvir,2,3.61
25-Jun,mp,alnvir,3,3.75
25-Jun,mp,alnvir,9,3.36
25-Jun,mp,amealn,2,3.12
25-Jun,mp,amealn,5,2.8
25-Jun,mp,amealn,6,3.37
25-Jun,mp,amealn,7,2.65
25-Jun,mp,amealn,11,3.29
25-Jun,mp,corsto,20,2.97
25-Jun,mp,loninv,4,2.91
25-Jun,mp,loninv,5,2.46
25-Jun,mp,loninv,6,3.18
25-Jun,mp,loninv,7,2.86
25-Jun,mp,loninv,8,3.05
25-Jun,mp,menfer,12,3.09
25-Jun,mp,popbal,12,3.08
25-Jun,mp,poptre,7,3.73
25-Jun,mp,poptre,8,3.63
25-Jun,mp,poptre,9,3.74
25-Jun,mp,poptre,10,4.43
25-Jun,mp,poptre,12,3.55
25-Jun,mp,poptre,13,4.15
25-Jun,mp,riblac,1,2.73
25-Jun,mp,riblac,3,2.44
25-Jun,mp,riblac,4,2.17
25-Jun,mp,riblac,6,1.78
25-Jun,mp,riblac,8,2.12
25-Jun,mp,rosaci,1,3.62
25-Jun,mp,rosaci,3,2.72
25-Jun,mp,rosaci,10,3.09
25-Jun,mp,rosgym,3,1.75
25-Jun,mp,rubpar,2,2.91
25-Jun,mp,rubspe,3,2.36
25-Jun,mp,rubspe,4,2.59
25-Jun,mp,rubspe,5,2.9
25-Jun,mp,rubspe,6,2.78
25-Jun,mp,rubspe,8,2.29
25-Jun,mp,samrac,1,4.13
25-Jun,mp,samrac,2,3.54
25-Jun,mp,samrac,6,4.47
25-Jun,mp,shecan,8,4.27
25-Jun,mp,shecan,9,3.77
25-Jun,mp,sorsco,3,2.22
25-Jun,mp,sorsco,4,4.01
25-Jun,mp,sorsco,11,
25-Jun,mp,sorsco,12,
25-Jun,mp,spibet,1,0.78
25-Jun,mp,spibet,3,0.88
25-Jun,mp,symalb,3,2.66
25-Jun,mp,symalb,5,2.3
25-Jun,mp,symalb,7,2.76
25-Jun,mp,symalb,8,2.5
25-Jun,mp,vacmem,5,3.62
25-Jun,mp,vacmem,7,2.73
26-Jun,mp,acegla,3,3.04
26-Jun,mp,acegla,4,4.11
26-Jun,mp,acegla,5,3.6
26-Jun,mp,acegla,10,
26-Jun,mp,alninc,2,3.6
26-Jun,mp,alninc,4,3.72
26-Jun,mp,alnvir,4,3.59
26-Jun,mp,alnvir,5,3.25
26-Jun,mp,alnvir,10,3.4
26-Jun,mp,corsto,2,3.01
26-Jun,mp,corsto,3,3.27
26-Jun,mp,loninv,11,3.4
26-Jun,mp,loninv,12,2.52
26-Jun,mp,loninv,13,1.96
26-Jun,mp,menfer,2,2.58
26-Jun,mp,menfer,5,3.25
26-Jun,mp,menfer,6,2.57
26-Jun,mp,menfer,7,3.61
26-Jun,mp,popbal,8,3.73
26-Jun,mp,popbal,9,4.11
26-Jun,mp,popbal,10,3.79
26-Jun,mp,popbal,13,4.7
26-Jun,mp,popbal,14,4.4
26-Jun,mp,popbal,15,4.24
26-Jun,mp,rhoalb,1,3.55
26-Jun,mp,rhoalb,11,3.8
26-Jun,mp,rhoalb,12,3.27
26-Jun,mp,riblac,5,2.14
26-Jun,mp,rosgym,4,1.83
26-Jun,mp,rosgym,5,2.11
26-Jun,mp,rosgym,6,1.56
26-Jun,mp,rosgym,7,1.11
26-Jun,mp,rosgym,8,2.52
26-Jun,mp,rosgym,9,1.86
26-Jun,mp,rubpar,6,3.32
26-Jun,mp,rubpar,7,2.13
26-Jun,mp,rubpar,8,2.89
26-Jun,mp,rubspe,1,2.42
26-Jun,mp,rubspe,9,2.77
26-Jun,mp,rubspe,10,2.59
26-Jun,mp,rubspe,11,2.6
26-Jun,mp,rubspe,12,3.16
26-Jun,mp,rubspe,13,2.75
26-Jun,mp,rubspe,14,1.84
26-Jun,mp,samrac,3,3.6
26-Jun,mp,samrac,4,2.41
26-Jun,mp,samrac,5,2.8
26-Jun,mp,samrac,8,3.09
26-Jun,mp,samrac,9,3.06
26-Jun,mp,samrac,10,3.62
26-Jun,mp,samrac,11,2.72
26-Jun,mp,shecan,11,4.1
26-Jun,mp,sorsco,8,4
26-Jun,mp,sorsco,10,3.19
26-Jun,mp,sorsco,12,4.02
26-Jun,mp,sorsco,13,2.8
26-Jun,mp,sorsco,14,2.92
26-Jun,mp,spipyr,9,2.61
26-Jun,mp,spipyr,10,3.09
26-Jun,mp,symalb,4,2.31
26-Jun,mp,symalb,11,1.87
26-Jun,mp,vacmem,1,2.97
26-Jun,mp,vacmem,8,3.46
26-Jun,mp,vacmem,8,3.46
26-Jun,mp,vibedu,5,2.99
26-Jun,mp,vibedu,8,3.56
26-Jun,mp,vibedu,13,3.07
26-Jun,mp,vibedu,14,2.19
02-Jul,afrf,acegla,11,3.25
02-Jul,afrf,acegla,12,3.12
02-Jul,afrf,alninc,1,
02-Jul,afrf,alninc,5,
02-Jul,afrf,alninc,5,2.79
02-Jul,afrf,alnvir,1,3.3
02-Jul,afrf,alnvir,2,
02-Jul,afrf,alnvir,2,3.69
02-Jul,afrf,alnvir,3,
02-Jul,afrf,alnvir,3,2.97
02-Jul,afrf,alnvir,4,
02-Jul,afrf,alnvir,4,3.05
02-Jul,afrf,alnvir,5,
02-Jul,afrf,alnvir,5,3.01
02-Jul,afrf,alnvir,11,
02-Jul,afrf,alnvir,11,2.99
02-Jul,afrf,alnvir,12,
02-Jul,afrf,alnvir,12,3.42
02-Jul,afrf,amealn,6,2.73
02-Jul,afrf,amealn,7,4.13
02-Jul,afrf,amealn,8,
02-Jul,afrf,amealn,8,3.39
02-Jul,afrf,amealn,9,1.78
02-Jul,afrf,amealn,10,2.65
02-Jul,afrf,amealn,12,3.61
02-Jul,afrf,corsto,6,2.82
02-Jul,afrf,corsto,7,
02-Jul,afrf,corsto,7,2.06
02-Jul,afrf,corsto,8,
02-Jul,afrf,corsto,8,2.37
02-Jul,afrf,corsto,9,2.19
02-Jul,afrf,corsto,10,
02-Jul,afrf,corsto,10,2.86
02-Jul,afrf,loninv,4,1.64
02-Jul,afrf,loninv,5,2.61
02-Jul,afrf,popbal,4,
02-Jul,afrf,popbal,4,2.8
02-Jul,afrf,popbal,5,
02-Jul,afrf,popbal,5,2.18
02-Jul,afrf,popbal,6,
02-Jul,afrf,popbal,6,2.83
02-Jul,afrf,popbal,7,3.18
02-Jul,afrf,popbal,8,3.04
02-Jul,afrf,poptre,3,
02-Jul,afrf,poptre,3,
02-Jul,afrf,poptre,3,3.44
02-Jul,afrf,poptre,3,3.44
02-Jul,afrf,poptre,4,
02-Jul,afrf,poptre,4,3.52
02-Jul,afrf,poptre,5,
02-Jul,afrf,poptre,5,3.34
02-Jul,afrf,poptre,6,
02-Jul,afrf,poptre,6,3.68
02-Jul,afrf,poptre,12,
02-Jul,afrf,poptre,12,3.46
02-Jul,afrf,riblac,4,2.17
02-Jul,afrf,riblac,6,2.47
02-Jul,afrf,riblac,7,
02-Jul,afrf,riblac,7,2.68
02-Jul,afrf,rosaci,8,2.3
02-Jul,afrf,rosgym,1,3.05
02-Jul,afrf,rosgym,2,1.7
02-Jul,afrf,rosgym,3,
02-Jul,afrf,rosgym,3,1.7
02-Jul,afrf,rosgym,6,2.53
02-Jul,afrf,rosgym,7,
02-Jul,afrf,rosgym,7,2.23
02-Jul,afrf,rosgym,10,
02-Jul,afrf,rosgym,10,1.91
02-Jul,afrf,rubida,4,1.6
02-Jul,afrf,rubida,10,3.07
02-Jul,afrf,rubida,11,
02-Jul,afrf,rubida,11,2.59
02-Jul,afrf,rubpar,5,1.76
02-Jul,afrf,rubpar,6,2.16
02-Jul,afrf,rubpar,9,
02-Jul,afrf,shecan,6,3.3
02-Jul,afrf,shecan,7,3.33
02-Jul,afrf,shecan,8,3.71
02-Jul,afrf,shecan,9,2.8
02-Jul,afrf,shecan,10,2.95
02-Jul,afrf,sorsco,6,2.65
02-Jul,afrf,sorsco,7,4.13
02-Jul,afrf,sorsco,8,2.94
02-Jul,afrf,sorsco,9,3.17
02-Jul,afrf,sorsco,10,2.92
02-Jul,afrf,sorsco,11,4.23
02-Jul,afrf,symalb,5,2.37
02-Jul,afrf,symalb,6,1.7
02-Jul,afrf,symalb,7,
02-Jul,afrf,symalb,7,1.18
02-Jul,afrf,symalb,8,
02-Jul,afrf,symalb,8,2.48
02-Jul,afrf,vacmem,3,
02-Jul,afrf,vacmem,3,2.25
02-Jul,afrf,vacmem,4,
02-Jul,afrf,vacmem,4,1.45
02-Jul,afrf,vacmem,5,
02-Jul,afrf,vacmem,5,2.71
02-Jul,afrf,vibedu,5,
02-Jul,afrf,vibedu,5,3.61
02-Jul,afrf,vibedu,6,
02-Jul,afrf,vibedu,6,2.57
02-Jul,afrf,vibedu,7,
02-Jul,afrf,vibedu,7,1.8
02-Jul,afrf,vibedu,8,2.73
02-Jul,afrf,vibedu,11,2.84
02-Jul,afrf,vibedu,,
03-Jul,afrf,acegla,1,
03-Jul,afrf,alninc,6,
03-Jul,afrf,alninc,7,
03-Jul,afrf,corsto,11,
03-Jul,afrf,loninv,6,
03-Jul,afrf,loninv,11,
03-Jul,afrf,popbal,9,
03-Jul,afrf,riblac,9,
03-Jul,afrf,riblac,10,
03-Jul,afrf,riblac,11,
03-Jul,afrf,rosgym,4,
03-Jul,afrf,rosgym,5,
03-Jul,afrf,rosgym,8,
03-Jul,afrf,rubida,12,
03-Jul,afrf,rubida,13,
03-Jul,afrf,rubpar,10,
03-Jul,afrf,rubpar,11,
03-Jul,afrf,rubpar,13,
03-Jul,afrf,rubpar,15,
03-Jul,afrf,rubpar,16,
03-Jul,afrf,rubpar,19,
03-Jul,afrf,samrac,6,
03-Jul,afrf,samrac,7,
03-Jul,afrf,samrac,10,
03-Jul,afrf,sorsco,13,
03-Jul,afrf,spidou,3,
03-Jul,afrf,spidou,11,
03-Jul,afrf,spidou,12,
03-Jul,afrf,spipyr,11,
03-Jul,afrf,vibedu,2,
03-Jul,afrf,vibedu,12,
04-Jul,afrf,alninc,12,
04-Jul,afrf,alninc,13,
04-Jul,afrf,alninc,14,
04-Jul,afrf,alnvir,13,
04-Jul,afrf,alnvir,14,
04-Jul,afrf,loninv,9,
04-Jul,afrf,riblac,12,
04-Jul,afrf,riblac,8,
04-Jul,afrf,rosgym,11,
04-Jul,afrf,rubida,6,
04-Jul,afrf,rubida,14,
04-Jul,afrf,rubida,15,
04-Jul,afrf,rubida,16,
04-Jul,afrf,rubida,17,
04-Jul,afrf,samrac,4,
04-Jul,afrf,samrac,5,
04-Jul,afrf,samrac,12,
04-Jul,afrf,samrac,13,
04-Jul,afrf,spidou,13,
04-Jul,afrf,spipyr,12,
04-Jul,afrf,spipyr,13,
04-Jul,afrf,spipyr,14,
04-Jul,afrf,symalb,12,
04-Jul,afrf,vacmem,6,
04-Jul,afrf,vacmem,7,
04-Jul,afrf,vacmem,8,
04-Jul,afrf,vacmem,9,
04-Jul,afrf,vacmem,10,